,MFB,MFE,R
竹東,-0.393,0.425,0.694
新竹,-0.523,0.548,0.646
頭份,-0.429,0.466,0.666
苗栗,-0.46,0.5,0.662
三義,-0.135,0.281,0.853
豐原,-0.285,0.378,0.679
沙鹿,-0.363,0.423,0.659
大里,-0.161,0.29,0.723
忠明,-0.122,0.309,0.702
西屯,-0.455,0.498,0.68
彰化,-0.302,0.382,0.668
線西,-0.493,0.514,0.686
二林,-0.789,0.789,0.614
南投,-0.348,0.393,0.708
斗六,-0.469,0.485,0.659
崙背,-0.583,0.592,0.591
新港,-0.699,0.699,0.605
朴子,-0.764,0.764,0.564
台西,-0.496,0.516,0.634
嘉義,-0.528,0.533,0.671
竹山,-0.438,0.481,0.367
埔里,-0.46,0.496,0.48
overal,-0.441,0.49,0.608
Criteria,-0.35/0.35,0/0.55,0.5
合格率,27%,81%,90%
合格站數,6,18,20
