,MFB,MFE,R
首爾,-0.444,0.444,0.916
東京,-1.863,1.863,0.224
北京,-0.786,0.807,0.483
overal,-1.031,1.038,0.81
Criteria,-0.65/0.65,0/0.85,0.45
合格率,33%,66%,66%
合格站數,1,2,2
