,MFB,MFE,R
首爾,1.116,1.116,0.786
東京,-1.092,1.177,-0.108
北京,-0.011,0.548,0.692
overal,0.028,0.942,0.711
Criteria,-0.65/0.65,0/0.85,0.45
合格率,33%,33%,66%
合格站數,1,1,2
