,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-11-00,3.0,2.5,3.1,6.2,6.0,2.5,1.0,1.0
2019-12-11-01,-999.0,-999.0,1.5,7.7,-999.0,-999.0,-999.0,-999.0
2019-12-11-02,-999.0,-999.0,2.1,7.7,-999.0,-999.0,-999.0,-999.0
2019-12-11-03,3.7,4.6,2.1,7.2,6.2,3.5,1.6,2.4
2019-12-11-04,-999.0,-999.0,1.0,4.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-05,-999.0,-999.0,1.0,4.6,-999.0,-999.0,-999.0,-999.0
2019-12-11-06,2.5,5.0,1.0,4.1,4.0,2.6,2.0,1.0
2019-12-11-07,-999.0,-999.0,1.5,5.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-08,-999.0,-999.0,2.6,5.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-09,4.0,5.7,2.1,4.1,3.8,2.8,2.7,4.2
2019-12-11-10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-11,-999.0,-999.0,1.0,4.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-12,4.1,6.0,1.0,3.6,3.0,1.9,2.0,3.0
2019-12-11-13,-999.0,-999.0,2.6,3.6,-999.0,-999.0,-999.0,-999.0
2019-12-11-14,-999.0,-999.0,2.1,3.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-15,2.9,5.1,1.5,3.6,1.5,1.6,2.7,2.9
2019-12-11-16,-999.0,-999.0,1.0,3.6,-999.0,-999.0,-999.0,-999.0
2019-12-11-17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-18,4.0,6.0,1.0,6.7,-999.0,1.4,2.0,4.0
2019-12-11-19,-999.0,-999.0,0.5,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-11-20,-999.0,-999.0,1.0,5.7,-999.0,-999.0,-999.0,-999.0
2019-12-11-21,1.4,3.6,1.0,5.7,0.2,1.3,2.5,4.5
2019-12-11-22,-999.0,-999.0,1.5,5.1,-999.0,-999.0,-999.0,-999.0
2019-12-11-23,-999.0,-999.0,2.6,4.1,-999.0,-999.0,-999.0,-999.0
