,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-06-15-00,2.9,4.1,3.6,8.8,2.0,2.0,1.0,2.0
2019-06-15-01,-999.0,-999.0,3.1,8.2,-999.0,-999.0,-999.0,-999.0
2019-06-15-02,-999.0,-999.0,4.1,9.3,-999.0,-999.0,-999.0,-999.0
2019-06-15-03,4.1,4.6,2.1,7.2,2.0,4.0,5.0,3.0
2019-06-15-04,-999.0,-999.0,2.6,6.2,-999.0,-999.0,-999.0,-999.0
2019-06-15-05,-999.0,-999.0,3.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-06-15-06,3.6,5.7,3.1,6.7,2.0,3.0,5.0,4.0
2019-06-15-07,-999.0,-999.0,3.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-06-15-08,-999.0,-999.0,3.6,6.7,-999.0,-999.0,-999.0,-999.0
2019-06-15-09,3.7,4.6,3.6,5.7,3.0,2.0,4.0,3.0
2019-06-15-10,-999.0,-999.0,3.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-06-15-11,-999.0,-999.0,2.6,4.1,-999.0,-999.0,-999.0,-999.0
2019-06-15-12,1.2,5.1,2.6,3.1,3.0,3.0,1.0,4.0
2019-06-15-13,-999.0,-999.0,1.0,3.1,-999.0,-999.0,-999.0,-999.0
2019-06-15-14,-999.0,-999.0,1.0,2.6,-999.0,-999.0,-999.0,-999.0
2019-06-15-15,1.0,3.6,2.1,3.1,3.0,1.0,2.0,2.0
2019-06-15-16,-999.0,-999.0,2.1,3.1,-999.0,-999.0,-999.0,-999.0
2019-06-15-17,-999.0,-999.0,2.6,2.6,-999.0,-999.0,-999.0,-999.0
2019-06-15-18,0.5,3.6,1.5,2.1,2.0,2.0,2.0,2.0
2019-06-15-19,-999.0,-999.0,2.1,2.6,-999.0,-999.0,-999.0,-999.0
2019-06-15-20,-999.0,-999.0,3.6,1.5,-999.0,-999.0,-999.0,-999.0
2019-06-15-21,1.1,2.1,2.6,1.0,2.0,1.0,2.0,1.0
2019-06-15-22,-999.0,-999.0,2.1,1.5,-999.0,-999.0,-999.0,-999.0
2019-06-15-23,-999.0,-999.0,2.1,0.5,-999.0,-999.0,-999.0,-999.0
