,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-11-26-00,2.1,6.5,4.6,4.1,1.0,2.1,1.0,7.0
2019-11-26-01,-999.0,-999.0,3.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-02,-999.0,-999.0,4.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-03,1.2,3.1,3.6,4.6,1.0,2.2,1.0,6.0
2019-11-26-04,-999.0,-999.0,2.6,4.6,-999.0,-999.0,-999.0,-999.0
2019-11-26-05,-999.0,-999.0,3.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-06,2.2,3.0,3.6,5.1,2.0,1.1,3.0,3.0
2019-11-26-07,-999.0,-999.0,3.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-11-26-08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-11-26-09,2.6,3.6,2.1,4.6,-999.0,2.0,3.0,4.0
2019-11-26-10,-999.0,-999.0,2.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-11,-999.0,-999.0,2.6,5.7,-999.0,-999.0,-999.0,-999.0
2019-11-26-12,1.5,3.0,2.1,5.7,-999.0,2.8,1.0,6.0
2019-11-26-13,-999.0,-999.0,1.5,5.7,-999.0,-999.0,-999.0,-999.0
2019-11-26-14,-999.0,-999.0,1.5,4.6,-999.0,-999.0,-999.0,-999.0
2019-11-26-15,3.0,1.5,2.1,4.1,3.0,2.4,2.0,6.0
2019-11-26-16,-999.0,-999.0,2.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-17,-999.0,-999.0,2.6,4.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-18,2.5,6.5,2.1,4.1,4.0,2.1,2.0,5.0
2019-11-26-19,-999.0,-999.0,2.6,5.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-20,-999.0,-999.0,2.1,4.1,-999.0,-999.0,-999.0,-999.0
2019-11-26-21,2.1,5.1,1.0,5.1,3.0,3.4,2.0,4.0
2019-11-26-22,-999.0,-999.0,1.5,3.6,-999.0,-999.0,-999.0,-999.0
2019-11-26-23,-999.0,-999.0,2.1,3.1,-999.0,-999.0,-999.0,-999.0
