,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-01-31-00,2.7,7.0,1.0,5.7,3.0,4.0,1.0,2.0
2019-01-31-01,-999.0,-999.0,0.5,7.7,-999.0,-999.0,-999.0,-999.0
2019-01-31-02,-999.0,-999.0,1.0,7.7,-999.0,-999.0,-999.0,-999.0
2019-01-31-03,3.3,9.8,1.5,6.7,3.0,7.0,1.0,3.0
2019-01-31-04,-999.0,-999.0,0.5,7.2,-999.0,-999.0,-999.0,-999.0
2019-01-31-05,-999.0,-999.0,1.0,9.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-06,2.3,6.5,1.0,8.8,4.0,6.0,8.0,3.0
2019-01-31-07,-999.0,-999.0,2.1,10.3,-999.0,-999.0,-999.0,-999.0
2019-01-31-08,-999.0,-999.0,1.0,8.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-09,3.8,4.6,3.1,11.3,4.0,4.0,5.0,1.0
2019-01-31-10,-999.0,-999.0,3.1,9.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-01-31-12,3.1,5.0,3.6,10.3,1.0,2.0,1.0,3.0
2019-01-31-13,-999.0,-999.0,3.1,11.3,-999.0,-999.0,-999.0,-999.0
2019-01-31-14,-999.0,-999.0,2.1,10.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-15,2.3,5.7,2.1,11.3,2.0,4.0,2.0,4.0
2019-01-31-16,-999.0,-999.0,3.6,10.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-17,-999.0,-999.0,4.1,10.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-18,0.9,6.0,4.6,10.3,2.0,3.0,2.0,3.0
2019-01-31-19,-999.0,-999.0,5.1,9.8,-999.0,-999.0,-999.0,-999.0
2019-01-31-20,-999.0,-999.0,4.6,9.3,-999.0,-999.0,-999.0,-999.0
2019-01-31-21,0.4,5.7,3.6,7.2,1.0,2.0,2.0,3.0
2019-01-31-22,-999.0,-999.0,3.1,7.7,-999.0,-999.0,-999.0,-999.0
2019-01-31-23,-999.0,-999.0,3.1,7.2,-999.0,-999.0,-999.0,-999.0
