UTC,首爾,東京,北京
2019-12-21-00,-0.077972412109375,7.0078125,-5.199554443359375
2019-12-21-01,0.93115234375,7.1744384765625,-3.3724365234375
2019-12-21-02,2.218780517578125,7.264617919921875,-1.882568359375
2019-12-21-03,3.581146240234375,7.42315673828125,-1.1817626953125
2019-12-21-04,3.829254150390625,7.68310546875,-0.62646484375
2019-12-21-05,4.091461181640625,7.813018798828125,0.064697265625
2019-12-21-06,4.4212646484375,7.828643798828125,0.28338623046875
2019-12-21-07,4.533782958984375,7.816802978515625,0.272552490234375
2019-12-21-08,4.3294677734375,7.85601806640625,-0.051544189453125
2019-12-21-09,4.241455078125,7.832061767578125,-0.969696044921875
2019-12-21-10,4.04327392578125,7.8065185546875,-1.392791748046875
2019-12-21-11,3.8013916015625,7.673614501953125,-1.66070556640625
2019-12-21-12,3.699920654296875,7.73583984375,-1.282989501953125
2019-12-21-13,3.5053942871093753,7.774583740234375,-1.18915283203125
2019-12-21-14,2.510533447265625,7.833142395019531,-1.2844754028320313
2019-12-21-15,2.2005844116210938,7.784332275390625,-1.429595947265625
2019-12-21-16,2.7722174072265626,7.824701232910156,-1.70997802734375
2019-12-21-17,2.876451416015625,7.691450195312499,-2.18120361328125
2019-12-21-18,2.9299468994140625,7.566986083984375,-2.5507354736328125
2019-12-21-19,2.5276214599609372,7.312164306640624,-2.790855102539062
2019-12-21-20,2.4926483154296877,7.309782104492188,-2.9474246215820314
2019-12-21-21,2.4793930053710938,7.324851989746094,-3.1742630004882812
2019-12-21-22,2.5153244018554686,7.501429443359374,-3.4541168212890625
2019-12-21-23,2.70328857421875,7.968572998046875,-3.5812524414062503
