UTC,首爾,東京,北京
2019-06-02-00,19.4830322265625,23.224945068359375,21.688232421875
2019-06-02-01,21.15557861328125,23.81048583984375,22.932281494140625
2019-06-02-02,22.945068359375,24.3546142578125,24.537689208984375
2019-06-02-03,24.3843994140625,25.22137451171875,26.4771728515625
2019-06-02-04,25.802032470703125,26.176239013671875,29.229583740234375
2019-06-02-05,26.55572509765625,27.080169677734375,31.465728759765625
2019-06-02-06,26.71875,27.091461181640625,33.30780029296875
2019-06-02-07,26.43121337890625,25.587738037109375,34.778289794921875
2019-06-02-08,25.83209228515625,23.9029541015625,35.58819580078125
2019-06-02-09,24.8876953125,23.080902099609375,35.612701416015625
2019-06-02-10,23.709716796875,22.006072998046875,33.7176513671875
2019-06-02-11,22.40509033203125,21.4263916015625,32.0511474609375
2019-06-02-12,21.556121826171875,21.44329833984375,30.522216796875
2019-06-02-13,20.945278320312504,21.653326416015624,28.501761474609374
2019-06-02-14,20.46934814453125,21.576357116699217,26.30523651123047
2019-06-02-15,19.861343383789062,21.479957580566406,25.46593475341797
2019-06-02-16,19.24029296875,21.340726623535158,24.264535217285157
2019-06-02-17,18.65234558105469,21.215196533203127,23.117799682617186
2019-06-02-18,18.079666137695312,21.18658447265625,22.345291137695312
2019-06-02-19,17.578082885742187,21.03111083984375,21.534368896484374
2019-06-02-20,17.052750549316407,20.838416442871093,20.971236267089843
2019-06-02-21,17.151580810546875,21.110946655273438,20.49913787841797
2019-06-02-22,18.416712646484374,20.939946899414064,21.325693359375
2019-06-02-23,20.13746337890625,21.868355712890626,23.65654541015625
