,MB,MNB,MNE,R
台東,--,--,--,--
花蓮,0.051,0.022,0.125,0.414
埔里,0.144,0.229,0.26,0.625
關山,--,--,--,--
overal,0.096,0.111,0.183,0.679
Criteria,-0.1/0.1,-0.15/0.15,0.0/0.35,0.45
合格率,50%,50%,100%,50%
合格站數,1,1,2,1
