,MNB,MNE,R
台東,-0.671,0.745,-0.007
花蓮,0.435,1.119,-0.043
埔里,-0.611,0.638,0.336
關山,-0.566,0.656,-0.053
overal,-0.345,0.793,0.349
Criteria,-0.4/0.5,0.0/0.8,0.35
合格率,25%,75%,0%
合格站數,1,3,0
