,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-04-13,7.06,2.5,1,1,1.15,1.91,1.91,2.67
2019-01-04-14,7.06,2.0,1,1,1.15,1.91,1.91,1.91
2019-01-04-15,6.53,2.0,1,0,1.15,2.29,1.91,1.91
2019-01-04-16,5.94,2.0,1,0,1.15,2.29,1.91,2.67
2019-01-04-17,5.83,2.0,1,0,1.53,2.29,1.91,2.67
2019-01-04-18,6.0,2.0,1,1,1.53,2.29,1.91,2.29
2019-01-04-19,5.83,2.0,1,0,2.29,2.29,1.91,2.29
2019-01-04-20,6.11,1.0,1,0,2.29,2.29,1.91,2.29
2019-01-04-21,6.0,1.0,1,0,2.67,2.67,2.29,2.29
2019-01-04-22,5.83,1.0,1,0,2.29,2.67,2.67,2.29
2019-01-04-23,5.72,1.0,1,0,1.91,2.67,2.29,2.29
2019-01-05-00,5.56,1.0,1,0,2.29,2.67,2.29,1.91
2019-01-05-01,5.11,1.0,1,0,11.08,2.67,2.29,1.91
2019-01-05-02,5.28,1.0,1,1,14.9,2.29,2.29,3.06
2019-01-05-03,5.5,1.0,1,1,3.06,2.29,1.91,5.35
2019-01-05-04,5.33,1.5,1,0,1.91,2.29,2.29,5.73
2019-01-05-05,5.61,2.0,1,0,1.91,2.29,1.91,5.35
2019-01-05-06,5.61,2.0,1,1,2.29,2.29,1.91,4.58
2019-01-05-07,5.56,2.5,1,1,1.91,2.29,1.91,4.2
2019-01-05-08,5.33,3.0,1,0,1.91,2.29,1.91,3.06
2019-01-05-09,5.22,4.0,1,0,1.53,1.91,1.91,2.67
2019-01-05-10,5.28,3.0,1,0,1.53,1.91,1.53,2.67
2019-01-05-11,5.11,3.0,1,1,1.53,1.91,1.53,2.67
2019-01-05-12,4.56,3.0,1,0,1.91,2.29,1.53,3.06
2019-01-05-13,4.5,3.5,1,1,1.91,2.29,1.53,2.29
2019-01-05-14,4.17,4.0,1,1,1.91,2.29,1.53,2.29
2019-01-05-15,4.39,3.0,1,0,1.91,2.29,1.53,2.29
2019-01-05-16,4.5,2.0,1,1,1.91,2.29,1.53,1.91
2019-01-05-17,4.22,2.0,1,0,1.91,2.29,1.53,1.91
2019-01-05-18,4.28,2.5,1,0,1.91,2.29,1.53,1.91
2019-01-05-19,4.72,2.0,1,1,1.91,2.29,1.53,2.29
2019-01-05-20,4.17,2.0,1,7,1.91,2.29,1.53,1.53
2019-01-05-21,4.28,1.5,1,6,1.53,2.29,1.53,1.53
2019-01-05-22,4.44,2.0,1,2,1.91,2.29,1.53,1.53
2019-01-05-23,4.61,1.5,1,1,2.29,2.29,1.53,1.53
2019-01-06-00,4.56,1.5,1,1,2.67,2.29,1.53,1.53
2019-01-06-01,4.72,1.5,1,1,2.67,2.29,1.53,1.91
2019-01-06-02,4.89,1.5,1,1,2.67,2.29,1.53,1.53
2019-01-06-03,5.0,1.5,1,1,3.06,2.29,1.53,1.53
2019-01-06-04,4.94,2.0,1,2,3.44,2.29,1.53,1.53
2019-01-06-05,5.17,1.5,1,1,3.44,2.29,1.53,1.53
2019-01-06-06,5.11,1.5,1,1,3.44,1.91,1.53,3.44
2019-01-06-07,4.94,2.0,1,0,3.06,1.91,1.53,3.06
2019-01-06-08,5.56,2.0,1,1,2.67,1.91,1.53,2.67
2019-01-06-09,5.78,2.0,1,1,2.67,1.91,1.53,2.67
2019-01-06-10,5.78,2.0,1,1,3.44,1.91,1.91,2.29
2019-01-06-11,5.67,2.0,1,0,4.97,2.29,1.91,2.29
2019-01-06-12,5.5,2.0,1,0,5.73,2.29,1.91,2.29
2019-01-06-13,5.61,2.0,1,0,6.49,2.29,1.91,2.29
2019-01-06-14,5.61,2.0,1,0,6.49,2.29,1.53,2.67
2019-01-06-15,5.28,2.0,1,1,6.88,2.29,1.53,3.06
2019-01-06-16,5.28,2.0,1,0,6.49,2.29,1.91,3.06
2019-01-06-17,4.83,2.0,1,0,6.49,2.29,1.53,3.06
2019-01-06-18,4.78,2.0,1,0,5.35,2.29,1.53,3.44
2019-01-06-19,4.89,2.0,1,0,5.35,2.29,1.53,3.06
2019-01-06-20,4.94,2.0,1,0,5.35,2.29,1.53,2.67
2019-01-06-21,4.83,1.0,1,1,4.97,2.29,1.91,2.29
2019-01-06-22,5.28,1.0,1,1,6.49,2.29,1.53,2.67
2019-01-06-23,5.28,1.0,1,1,7.26,2.29,1.53,3.44
2019-01-07-00,5.11,1.0,1,1,6.11,2.29,1.53,3.06
2019-01-07-01,5.11,1.0,1,1,12.22,2.29,1.53,2.67
2019-01-07-02,4.78,1.0,1,0,14.9,2.29,1.53,2.67
2019-01-07-03,4.78,1.0,1,0,4.97,2.29,1.91,3.06
2019-01-07-04,4.78,1.0,1,0,3.82,2.67,1.53,2.67
2019-01-07-05,4.56,1.0,1,0,4.2,2.67,1.91,1.91
2019-01-07-06,4.78,1.0,1,1,4.2,2.29,1.91,1.53
2019-01-07-07,5.11,1.5,1,0,3.82,2.29,1.53,1.53
2019-01-07-08,5.61,2.0,1,0,3.82,2.29,1.53,1.53
2019-01-07-09,6.17,2.0,1,0,3.82,2.29,1.53,1.53
2019-01-07-10,5.78,2.0,1,0,2.29,2.29,1.91,1.53
2019-01-07-11,5.83,2.0,1,0,1.53,2.29,1.53,1.53
2019-01-07-12,6.39,2.0,1,0,1.53,2.29,1.53,1.53
2019-01-07-13,6.33,2.0,1,0,1.15,2.29,1.53,2.29
2019-01-07-14,6.61,2.5,1,0,1.53,2.29,1.53,2.29
2019-01-07-15,6.41,3.0,1,0,1.15,2.29,1.53,2.29
2019-01-07-16,6.11,2.5,1,0,1.53,2.29,1.91,2.29
2019-01-07-17,6.06,2.5,1,1,1.53,2.29,1.53,2.67
2019-01-07-18,6.28,3.0,1,0,1.91,2.29,1.53,2.67
2019-01-07-19,6.06,4.0,1,0,1.91,2.29,1.91,2.67
2019-01-07-20,6.22,3.5,1,1,2.29,1.91,1.91,3.06
2019-01-07-21,5.94,3.5,1,1,1.91,1.91,1.91,3.82
2019-01-07-22,5.44,3.0,1,1,1.53,2.29,1.91,3.44
2019-01-07-23,5.44,3.0,1,0,1.53,1.91,1.91,3.44
2019-01-08-00,5.28,3.0,1,0,1.91,2.29,1.91,4.2
2019-01-08-01,5.17,2.5,1,-999,1.53,2.29,1.91,3.82
2019-01-08-02,4.67,3.0,1,0,1.53,2.29,1.91,3.44
2019-01-08-03,5.0,3.0,1,0,1.53,2.29,1.91,3.06
2019-01-08-04,5.22,2.5,1,0,1.53,2.29,1.91,3.44
2019-01-08-05,5.5,2.5,1,1,1.53,2.67,1.91,3.06
2019-01-08-06,5.67,3.0,1,0,1.53,2.67,1.91,3.82
2019-01-08-07,6.11,2.5,1,0,1.91,2.29,1.91,5.73
2019-01-08-08,6.28,2.5,1,0,1.91,2.67,1.91,7.26
2019-01-08-09,6.5,3.0,1,0,1.91,3.06,1.91,4.58
2019-01-08-10,6.11,2.5,-999,1,1.91,3.06,1.91,4.2
2019-01-08-11,5.41,3.0,-999,1,1.53,3.44,1.91,3.44
2019-01-08-12,5.29,3.0,1,1,1.15,3.44,1.91,3.06
2019-01-08-13,4.76,3.0,1,1,1.53,3.44,1.91,2.29
2019-01-08-14,4.5,2.5,1,1,1.15,3.44,1.53,1.91
2019-01-08-15,4.56,3.0,1,1,1.15,3.44,1.53,1.91
2019-01-08-16,4.76,3.0,1,1,1.15,3.82,1.53,1.91
2019-01-08-17,4.24,2.0,1,0,1.15,5.35,1.53,2.29
2019-01-08-18,3.94,2.0,1,1,1.15,6.11,1.53,2.29
2019-01-08-19,3.83,2.0,1,0,1.53,4.97,1.53,2.67
2019-01-08-20,4.11,2.0,1,1,1.53,4.2,1.53,2.29
2019-01-08-21,4.33,2.0,1,0,1.91,3.44,1.53,1.91
2019-01-08-22,4.61,2.0,1,0,1.53,3.44,1.53,1.91
2019-01-08-23,4.56,2.0,1,0,1.53,3.44,1.53,2.29
2019-01-09-00,4.33,2.0,1,1,1.91,3.44,1.53,3.06
2019-01-09-01,4.44,2.0,1,0,8.79,3.44,1.53,3.06
2019-01-09-02,4.5,1.0,1,0,13.37,3.06,1.53,2.29
2019-01-09-03,4.5,1.0,1,1,3.82,2.67,1.53,2.29
2019-01-09-04,4.67,1.0,1,0,3.06,2.67,1.53,2.67
2019-01-09-05,4.72,1.5,1,1,1.91,2.67,1.53,3.06
2019-01-09-06,4.78,2.0,1,1,1.53,2.67,1.53,2.29
2019-01-09-07,4.89,2.0,1,1,1.53,2.67,1.53,1.91
2019-01-09-08,5.39,2.5,1,1,1.53,2.67,1.53,1.91
2019-01-09-09,5.22,2.0,1,1,1.91,2.67,1.53,2.29
2019-01-09-10,4.89,2.0,1,1,2.29,2.67,1.53,2.67
2019-01-09-11,4.76,3.5,1,1,3.06,2.29,1.53,1.91
2019-01-09-12,4.72,4.0,1,2,4.2,2.29,1.53,2.29
2019-01-09-13,4.67,4.5,1,3,4.58,2.29,1.53,2.67
2019-01-09-14,4.61,6.0,1,1,4.58,1.91,1.53,2.67
2019-01-09-15,4.83,6.0,1,1,4.58,2.29,1.53,2.29
2019-01-09-16,5.18,5.5,1,1,4.97,2.29,1.53,2.67
2019-01-09-17,5.0,4.0,1,1,4.58,1.91,1.53,2.29
2019-01-09-18,5.44,3.5,1,0,4.2,2.29,1.53,2.29
2019-01-09-19,5.5,3.0,1,0,4.58,1.91,1.53,1.91
2019-01-09-20,5.06,3.5,1,0,4.58,1.91,1.53,2.29
2019-01-09-21,5.0,3.5,1,0,4.97,1.91,1.53,2.67
2019-01-09-22,5.22,4.0,1,0,5.35,1.91,1.53,1.91
2019-01-09-23,5.17,4.0,1,1,6.11,1.91,1.53,1.91
2019-01-10-00,5.11,3.0,1,0,6.11,1.91,1.53,1.53
2019-01-10-01,4.89,3.0,-999,0,5.35,1.91,1.53,1.53
2019-01-10-02,4.78,3.0,1,0,4.58,2.29,1.53,1.91
2019-01-10-03,4.67,3.0,1,0,4.58,2.29,1.91,1.53
2019-01-10-04,4.72,3.0,1,0,4.2,1.91,1.91,1.53
2019-01-10-05,5.11,4.0,1,1,3.82,1.91,1.53,1.53
2019-01-10-06,4.94,4.0,1,0,3.44,1.91,1.53,2.29
2019-01-10-07,5.56,3.0,1,1,3.06,1.91,1.53,2.67
2019-01-10-08,5.22,3.0,1,1,3.06,1.91,1.91,3.44
2019-01-10-09,5.28,3.0,1,1,3.44,2.29,2.29,3.44
2019-01-10-10,5.22,3.0,1,1,4.2,1.91,3.06,4.2
2019-01-10-11,5.44,3.0,1,1,4.97,1.91,3.82,3.44
2019-01-10-12,5.06,4.0,1,1,6.11,1.91,3.44,4.2
2019-01-10-13,5.0,4.0,1,1,7.26,2.29,2.67,4.58
2019-01-10-14,5.47,4.0,1,1,8.02,2.29,2.29,3.44
