,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-04-13,59.67,18.5,5,2,5.31,30.27,13.28,27.08
2019-01-04-14,52.35,17.5,5,2,6.37,29.2,15.93,19.65
2019-01-04-15,46.76,22.0,6,2,6.37,30.8,17.52,21.77
2019-01-04-16,47.5,24.5,5,3,7.43,34.52,21.24,31.33
2019-01-04-17,51.72,22.0,7,2,11.68,40.36,27.61,36.64
2019-01-04-18,53.89,26.5,8,5,17.52,42.48,32.39,37.17
2019-01-04-19,54.22,35.5,10,5,20.18,41.95,35.58,38.23
2019-01-04-20,55.56,21.0,17,4,20.18,40.89,33.98,34.52
2019-01-04-21,56.67,19.5,18,4,23.9,40.89,32.92,30.8
2019-01-04-22,59.28,18.5,15,3,22.3,40.36,31.33,27.61
2019-01-04-23,61.83,15.5,31,2,20.18,38.76,28.14,26.02
2019-01-05-00,56.56,11.5,10,2,18.05,37.17,26.55,19.65
2019-01-05-01,41.89,10.0,5,2,18.05,34.52,28.14,18.58
2019-01-05-02,31.67,9.5,6,2,15.93,31.33,26.55,19.65
2019-01-05-03,24.0,5.5,7,2,14.34,29.2,23.9,16.46
2019-01-05-04,22.61,5.5,7,2,14.34,27.61,24.96,19.65
2019-01-05-05,26.44,8.0,6,2,15.4,27.08,24.96,19.12
2019-01-05-06,31.0,15.0,6,2,13.81,27.08,23.9,15.93
2019-01-05-07,32.72,28.5,9,3,16.46,27.61,23.36,15.93
2019-01-05-08,33.33,25.5,11,3,18.05,26.55,23.36,18.58
2019-01-05-09,30.28,19.5,10,3,16.99,24.96,22.83,16.99
2019-01-05-10,27.39,14.5,7,3,13.28,23.9,22.83,16.99
2019-01-05-11,25.61,16.0,4,2,10.62,22.3,22.83,19.12
2019-01-05-12,21.78,15.0,4,2,9.03,22.83,22.83,23.36
2019-01-05-13,18.28,14.0,3,2,9.03,23.36,21.77,27.08
2019-01-05-14,16.89,13.5,3,2,10.09,25.49,19.65,22.83
2019-01-05-15,17.39,12.0,3,2,11.68,27.08,19.12,19.65
2019-01-05-16,21.17,12.5,4,2,13.81,24.43,20.71,17.52
2019-01-05-17,30.5,16.5,5,2,18.05,25.49,22.3,22.83
2019-01-05-18,36.17,37.0,7,3,25.49,29.74,24.43,27.61
2019-01-05-19,36.56,44.5,8,3,32.92,30.27,25.49,22.83
2019-01-05-20,34.61,36.5,8,2,33.98,30.27,23.9,28.67
2019-01-05-21,34.0,29.5,9,2,35.58,31.33,22.83,30.27
2019-01-05-22,37.44,30.0,10,3,33.98,26.55,21.24,27.08
2019-01-05-23,38.11,17.0,9,2,36.64,23.9,20.71,24.43
2019-01-06-00,40.0,11.0,10,2,37.17,22.83,21.77,18.05
2019-01-06-01,40.22,6.5,8,1,33.45,24.43,22.3,14.34
2019-01-06-02,37.17,7.0,5,1,36.64,21.24,22.3,13.28
2019-01-06-03,32.39,5.5,4,1,35.58,16.99,21.24,16.46
2019-01-06-04,32.56,5.0,5,1,33.45,13.81,18.58,18.58
2019-01-06-05,35.06,6.5,6,1,34.52,11.68,17.52,18.58
2019-01-06-06,38.44,9.5,7,3,33.98,12.21,17.52,22.83
2019-01-06-07,39.89,14.0,11,5,31.86,15.4,18.05,22.83
2019-01-06-08,40.22,16.5,21,6,29.74,19.65,17.52,18.58
2019-01-06-09,39.17,10.0,25,9,29.74,20.71,18.05,16.46
2019-01-06-10,38.94,9.0,21,4,30.8,20.18,18.05,17.52
2019-01-06-11,36.94,7.0,10,3,32.39,19.65,18.58,18.05
2019-01-06-12,34.39,7.5,7,3,33.98,19.12,18.58,18.58
2019-01-06-13,31.67,7.5,7,2,36.64,21.77,19.65,15.4
