,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-01-00,41.94,18.0,-999,-999,80.0,23.0,28.0,9.0
2019-01-01-01,43.06,18.0,0,13,76.0,21.0,26.0,8.0
2019-01-01-02,46.22,18.5,2,10,69.0,20.0,21.0,7.0
2019-01-01-03,43.17,16.0,0,10,72.0,18.0,20.0,7.0
2019-01-01-04,44.56,19.0,0,7,64.0,16.0,18.0,7.0
2019-01-01-05,44.83,15.0,6,11,67.0,17.0,18.0,8.0
2019-01-01-06,41.56,15.5,0,9,70.0,18.0,18.0,8.0
2019-01-01-07,39.59,20.5,1,10,67.0,22.0,19.0,10.0
2019-01-01-08,45.33,24.0,0,8,72.0,29.0,25.0,11.0
2019-01-01-09,42.06,22.0,0,9,76.0,29.0,29.0,15.0
2019-01-01-10,40.94,18.0,0,8,67.0,32.0,27.0,17.0
2019-01-01-11,37.72,20.0,0,7,57.0,33.0,22.0,16.0
2019-01-01-12,38.72,17.5,0,8,47.0,35.0,23.0,19.0
2019-01-01-13,41.28,20.5,10,8,35.0,38.0,22.0,23.0
2019-01-01-14,40.22,19.0,5,6,33.0,46.0,19.0,26.0
2019-01-01-15,34.89,19.5,1,7,31.0,47.0,17.0,35.0
2019-01-01-16,33.39,21.5,0,7,39.0,43.0,20.0,31.0
2019-01-01-17,33.39,21.5,10,9,38.0,38.0,23.0,32.0
2019-01-01-18,30.94,22.0,3,8,34.0,36.0,21.0,39.0
2019-01-01-19,31.22,23.5,9,9,36.0,43.0,23.0,38.0
2019-01-01-20,29.78,25.0,5,7,35.0,46.0,22.0,35.0
2019-01-01-21,27.28,28.0,16,7,30.0,55.0,18.0,30.0
2019-01-01-22,26.67,31.0,6,6,31.0,54.0,23.0,17.0
2019-01-01-23,24.28,35.0,10,6,31.0,52.0,26.0,18.0
2019-01-02-00,25.39,34.0,17,6,32.0,43.0,24.0,11.0
2019-01-02-01,24.72,34.0,0,7,32.0,46.0,28.0,12.0
2019-01-02-02,25.39,37.5,0,6,34.0,51.0,24.0,9.0
2019-01-02-03,24.94,33.5,0,6,39.0,52.0,23.0,6.0
