,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-02-00,211.0,50.0,40.0,40.0,160.0,160.0,70.0,340.0
2019-08-02-01,-999.0,-999.0,170.0,70.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-02,-999.0,-999.0,160.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-03,190.0,50.0,160.0,40.0,360.0,160.0,110.0,110.0
2019-08-02-04,-999.0,-999.0,170.0,50.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-05,-999.0,-999.0,140.0,50.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-06,243.0,50.0,150.0,10.0,40.0,110.0,90.0,140.0
2019-08-02-07,-999.0,-999.0,170.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-08,-999.0,-999.0,170.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-09,274.0,50.0,170.0,40.0,160.0,110.0,90.0,90.0
2019-08-02-10,-999.0,-999.0,200.0,70.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-11,-999.0,-999.0,180.0,40.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-12,274.0,270.0,160.0,80.0,220.0,110.0,70.0,40.0
2019-08-02-13,-999.0,-999.0,180.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-14,-999.0,-999.0,180.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-15,303.0,50.0,150.0,90.0,200.0,140.0,20.0,20.0
2019-08-02-16,-999.0,-999.0,160.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-17,-999.0,-999.0,180.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-18,-999.0,200.0,160.0,110.0,250.0,140.0,360.0,20.0
2019-08-02-19,-999.0,-999.0,160.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-20,-999.0,-999.0,170.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-21,40.0,110.0,160.0,120.0,-999.0,110.0,320.0,20.0
2019-08-02-22,-999.0,-999.0,160.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-08-02-23,-999.0,-999.0,200.0,120.0,-999.0,-999.0,-999.0,-999.0
