,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-27-00,82.0,250.0,340.0,130.0,340.0,220.0,220.0,340.0
2019-08-27-01,-999.0,-999.0,340.0,100.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-02,-999.0,-999.0,300.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-03,153.0,270.0,80.0,120.0,290.0,220.0,220.0,250.0
2019-08-27-04,-999.0,-999.0,270.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-05,-999.0,-999.0,290.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-06,326.0,270.0,200.0,130.0,340.0,270.0,160.0,220.0
2019-08-27-07,-999.0,-999.0,160.0,140.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-08,-999.0,-999.0,160.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-09,261.0,250.0,160.0,110.0,220.0,90.0,160.0,160.0
2019-08-27-10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-11,-999.0,-999.0,180.0,120.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-12,315.0,250.0,190.0,120.0,250.0,70.0,40.0,110.0
2019-08-27-13,-999.0,-999.0,180.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-14,-999.0,-999.0,160.0,140.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-15,273.0,250.0,180.0,120.0,290.0,40.0,40.0,140.0
2019-08-27-16,-999.0,-999.0,150.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-17,-999.0,-999.0,160.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-18,189.0,270.0,170.0,120.0,270.0,70.0,20.0,340.0
2019-08-27-19,-999.0,-999.0,180.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-21,297.0,320.0,190.0,130.0,270.0,40.0,20.0,250.0
2019-08-27-22,-999.0,-999.0,190.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-08-27-23,-999.0,-999.0,210.0,130.0,-999.0,-999.0,-999.0,-999.0
