,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-17-00,342.0,270.0,320.0,140.0,350.0,281.0,-999.0,350.0
2019-12-17-01,-999.0,-999.0,310.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-02,-999.0,-999.0,330.0,160.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-03,219.0,270.0,30.0,170.0,351.0,307.0,46.0,161.0
2019-12-17-04,-999.0,-999.0,340.0,160.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-05,-999.0,-999.0,320.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-06,285.0,270.0,320.0,210.0,340.0,26.0,210.0,190.0
2019-12-17-07,-999.0,-999.0,280.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-08,-999.0,-999.0,280.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-09,308.0,290.0,280.0,140.0,341.0,5.0,277.0,156.0
2019-12-17-10,-999.0,-999.0,240.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-11,-999.0,-999.0,260.0,160.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-12,292.0,320.0,300.0,160.0,360.0,15.0,120.0,70.0
2019-12-17-13,-999.0,-999.0,310.0,150.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-14,-999.0,-999.0,170.0,150.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-15,295.0,320.0,340.0,150.0,33.0,350.0,262.0,336.0
2019-12-17-16,-999.0,-999.0,20.0,170.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-17,-999.0,-999.0,320.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-18,276.0,320.0,310.0,210.0,40.0,-999.0,260.0,260.0
2019-12-17-19,-999.0,-999.0,330.0,220.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-20,-999.0,-999.0,340.0,230.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-21,276.0,320.0,320.0,230.0,44.0,1.0,262.0,113.0
2019-12-17-22,-999.0,-999.0,10.0,230.0,-999.0,-999.0,-999.0,-999.0
2019-12-17-23,-999.0,-999.0,20.0,240.0,-999.0,-999.0,-999.0,-999.0
