,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-04-09-00,2.5,6.5,5.7,5.1,2.0,5.0,1.0,2.0
2019-04-09-01,-999.0,-999.0,7.2,5.1,-999.0,-999.0,-999.0,-999.0
2019-04-09-02,-999.0,-999.0,8.2,6.2,-999.0,-999.0,-999.0,-999.0
2019-04-09-03,2.3,7.7,6.2,6.7,3.0,5.0,4.0,3.0
2019-04-09-04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-04-09-05,-999.0,-999.0,6.7,6.2,-999.0,-999.0,-999.0,-999.0
2019-04-09-06,2.8,7.5,4.6,7.2,2.0,4.0,8.0,2.0
2019-04-09-07,-999.0,-999.0,4.1,7.7,-999.0,-999.0,-999.0,-999.0
2019-04-09-08,-999.0,-999.0,3.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-04-09-09,4.4,6.7,4.1,5.7,3.0,4.0,5.0,2.0
2019-04-09-10,-999.0,-999.0,3.1,6.7,-999.0,-999.0,-999.0,-999.0
2019-04-09-11,-999.0,-999.0,3.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-04-09-12,2.8,4.0,2.1,6.7,1.0,4.0,2.0,3.0
2019-04-09-13,-999.0,-999.0,1.5,6.7,-999.0,-999.0,-999.0,-999.0
2019-04-09-14,-999.0,-999.0,1.0,8.2,-999.0,-999.0,-999.0,-999.0
2019-04-09-15,3.0,3.6,2.6,8.2,2.0,6.0,3.0,3.0
2019-04-09-16,-999.0,-999.0,1.0,8.8,-999.0,-999.0,-999.0,-999.0
2019-04-09-17,-999.0,-999.0,1.5,10.3,-999.0,-999.0,-999.0,-999.0
2019-04-09-18,2.0,2.5,2.6,12.4,1.0,5.0,2.0,3.0
2019-04-09-19,-999.0,-999.0,2.1,9.8,-999.0,-999.0,-999.0,-999.0
2019-04-09-20,-999.0,-999.0,2.1,10.3,-999.0,-999.0,-999.0,-999.0
2019-04-09-21,1.8,4.6,1.0,7.7,1.0,5.0,1.0,2.0
2019-04-09-22,-999.0,-999.0,2.6,9.8,-999.0,-999.0,-999.0,-999.0
2019-04-09-23,-999.0,-999.0,1.5,9.3,-999.0,-999.0,-999.0,-999.0
