,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-01-26-00,2.8,9.0,4.6,9.3,2.0,4.0,1.0,4.0
2019-01-26-01,-999.0,-999.0,4.6,8.8,-999.0,-999.0,-999.0,-999.0
2019-01-26-02,-999.0,-999.0,3.6,8.8,-999.0,-999.0,-999.0,-999.0
2019-01-26-03,2.8,6.7,3.1,8.2,3.0,2.0,1.0,2.0
2019-01-26-04,-999.0,-999.0,4.1,9.3,-999.0,-999.0,-999.0,-999.0
2019-01-26-05,-999.0,-999.0,3.6,8.8,-999.0,-999.0,-999.0,-999.0
2019-01-26-06,1.6,5.0,6.7,8.8,2.0,4.0,4.0,4.0
2019-01-26-07,-999.0,-999.0,6.7,8.8,-999.0,-999.0,-999.0,-999.0
2019-01-26-08,-999.0,-999.0,9.3,9.3,-999.0,-999.0,-999.0,-999.0
2019-01-26-09,2.7,5.7,4.6,8.2,1.0,3.0,2.0,3.0
2019-01-26-10,-999.0,-999.0,4.1,7.7,-999.0,-999.0,-999.0,-999.0
2019-01-26-11,-999.0,-999.0,3.6,7.7,-999.0,-999.0,-999.0,-999.0
2019-01-26-12,2.8,3.6,5.1,7.7,1.0,2.0,5.0,4.0
2019-01-26-13,-999.0,-999.0,7.2,9.3,-999.0,-999.0,-999.0,-999.0
2019-01-26-14,-999.0,-999.0,6.2,8.2,-999.0,-999.0,-999.0,-999.0
2019-01-26-15,1.9,2.6,4.6,7.2,2.0,1.0,2.0,6.0
2019-01-26-16,-999.0,-999.0,3.6,8.2,-999.0,-999.0,-999.0,-999.0
2019-01-26-17,-999.0,-999.0,3.6,9.3,-999.0,-999.0,-999.0,-999.0
2019-01-26-18,0.7,1.0,5.7,6.7,1.0,0.0,3.0,6.0
2019-01-26-19,-999.0,-999.0,3.6,5.1,-999.0,-999.0,-999.0,-999.0
2019-01-26-20,-999.0,-999.0,4.6,6.7,-999.0,-999.0,-999.0,-999.0
2019-01-26-21,0.6,1.5,5.7,4.1,-999.0,1.0,2.0,4.0
2019-01-26-22,-999.0,-999.0,4.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-01-26-23,-999.0,-999.0,3.1,6.7,-999.0,-999.0,-999.0,-999.0
