,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-10-13-00,3.5,2.5,5.1,4.6,3.0,2.0,1.0,3.0
2019-10-13-01,-999.0,-999.0,6.2,5.7,-999.0,-999.0,-999.0,-999.0
2019-10-13-02,-999.0,-999.0,6.7,6.2,-999.0,-999.0,-999.0,-999.0
2019-10-13-03,2.2,6.7,5.7,7.7,3.0,1.0,1.0,2.0
2019-10-13-04,-999.0,-999.0,5.7,6.7,-999.0,-999.0,-999.0,-999.0
2019-10-13-05,-999.0,-999.0,4.1,7.7,-999.0,-999.0,-999.0,-999.0
2019-10-13-06,0.9,5.5,5.1,7.7,2.0,3.0,1.0,2.0
2019-10-13-07,-999.0,-999.0,4.6,7.7,-999.0,-999.0,-999.0,-999.0
2019-10-13-08,-999.0,-999.0,4.6,7.2,-999.0,-999.0,-999.0,-999.0
2019-10-13-09,0.6,3.1,2.6,7.2,2.0,2.0,2.0,5.0
2019-10-13-10,-999.0,-999.0,2.6,5.1,-999.0,-999.0,-999.0,-999.0
2019-10-13-11,-999.0,-999.0,3.1,-999.0,-999.0,-999.0,-999.0,-999.0
2019-10-13-12,1.2,1.5,3.6,5.7,1.0,2.0,2.0,3.0
2019-10-13-13,-999.0,-999.0,2.6,3.1,-999.0,-999.0,-999.0,-999.0
2019-10-13-14,-999.0,-999.0,3.6,3.6,-999.0,-999.0,-999.0,-999.0
2019-10-13-15,0.4,2.1,3.6,4.1,1.0,2.0,2.0,3.0
2019-10-13-16,-999.0,-999.0,3.6,2.6,-999.0,-999.0,-999.0,-999.0
2019-10-13-17,-999.0,-999.0,4.6,2.1,-999.0,-999.0,-999.0,-999.0
2019-10-13-18,0.9,1.5,5.1,3.1,1.0,2.0,3.0,5.0
2019-10-13-19,-999.0,-999.0,3.6,2.1,-999.0,-999.0,-999.0,-999.0
2019-10-13-20,-999.0,-999.0,2.6,3.1,-999.0,-999.0,-999.0,-999.0
2019-10-13-21,0.6,1.0,2.6,4.1,1.0,2.0,2.0,5.0
2019-10-13-22,-999.0,-999.0,2.1,3.6,-999.0,-999.0,-999.0,-999.0
2019-10-13-23,-999.0,-999.0,2.6,4.1,-999.0,-999.0,-999.0,-999.0
