,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-13-00,2.2,1.0,2.6,4.1,-999.0,1.3,2.0,2.0
2019-12-13-01,-999.0,-999.0,1.5,4.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-02,-999.0,-999.0,2.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-03,0.9,1.5,1.5,3.1,1.9,3.8,1.5,1.6
2019-12-13-04,-999.0,-999.0,2.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-05,-999.0,-999.0,1.0,4.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-06,2.3,2.0,1.5,2.1,4.0,3.5,2.0,3.0
2019-12-13-07,-999.0,-999.0,1.5,4.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-08,-999.0,-999.0,2.6,4.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-09,2.4,0.5,1.5,3.6,3.7,1.1,2.1,3.3
2019-12-13-10,-999.0,-999.0,1.5,2.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-11,-999.0,-999.0,1.5,3.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-12,1.5,1.5,1.5,3.1,4.0,0.3,2.0,3.0
2019-12-13-13,-999.0,-999.0,1.5,2.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-14,-999.0,-999.0,1.5,3.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-15,3.5,2.6,2.6,3.1,0.3,0.8,1.1,1.6
2019-12-13-16,-999.0,-999.0,3.1,3.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-17,-999.0,-999.0,2.6,3.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-18,2.6,2.5,2.1,3.1,1.0,1.0,2.0,2.0
2019-12-13-19,-999.0,-999.0,2.1,3.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-20,-999.0,-999.0,2.1,3.6,-999.0,-999.0,-999.0,-999.0
2019-12-13-21,3.3,2.6,1.0,3.1,1.3,1.5,2.0,0.7
2019-12-13-22,-999.0,-999.0,1.5,3.1,-999.0,-999.0,-999.0,-999.0
2019-12-13-23,-999.0,-999.0,2.1,3.1,-999.0,-999.0,-999.0,-999.0
