UTC,濟州,那霸機場,上海,福州,廈門
2019-10-02-00,114.51791014445013,182.67824741355702,312.69870061184184,298.6243095384045,238.0726051334067
2019-10-02-01,116.93115356746196,173.88159678337286,315.2093070949046,296.333343606763,244.2539462940805
2019-10-02-02,119.51129571288573,178.6179947802092,308.6167171360171,295.91956782052995,224.75431870007714
2019-10-02-03,128.3604516571813,177.10896259968183,309.03314167957296,292.09952598834246,216.52424950389724
2019-10-02-04,140.6712032032026,181.9996293719503,309.7128423882415,293.85944891391176,236.38717029685233
2019-10-02-05,139.93655357521203,174.7375236202759,312.2535830987916,294.21469032851115,207.32243398442716
2019-10-02-06,140.39430252884017,168.0335158910139,316.24960077031244,292.31879420230365,202.83064550795075
2019-10-02-07,137.33407028228567,169.62640768373413,318.8616616458472,285.82053342239476,183.51756409030696
2019-10-02-08,145.60680027636514,168.4653222444083,316.67816479270425,291.63009347067316,181.91049607262545
2019-10-02-09,153.6263254382117,174.0304889661204,325.38090865954405,296.8364465498879,179.47487033378047
2019-10-02-10,161.45693823180073,163.5125462969138,326.8553906744,316.8070325057154,164.54188732155376
2019-10-02-11,166.72264204740353,178.23500003234,322.9649598509909,321.9522199176573,175.7540519603997
2019-10-02-12,171.9560202297837,182.75755186562262,323.5184368413751,202.92536114179455,180.51111165331577
2019-10-02-13,187.6130607214534,161.38651702462676,323.4086192288437,222.4043038651599,157.03588792325453
2019-10-02-14,203.66667482970982,192.2611891159866,326.3393930241012,35.356732374539405,164.32155596779984
2019-10-02-15,214.22425268383392,183.4745464092305,319.24432999531655,50.628996819307815,181.12653113233526
2019-10-02-16,224.88625081152367,188.363522573563,317.21185387130873,50.06211103192226,202.57811647968794
2019-10-02-17,231.9445828480569,188.87599344280932,313.93930566755995,47.199597746172685,243.37084100676552
2019-10-02-18,244.6151999899344,192.81330693836935,314.6635752270262,348.6043690391849,238.26842512878318
2019-10-02-19,248.2561284755716,210.4304551774026,309.8110959237128,13.014373053734971,216.03143274171254
2019-10-02-20,257.14228753515437,215.94381466747464,303.06293845901166,348.81979870383805,246.95478937645896
2019-10-02-21,266.75402118742744,231.0904652260184,292.9986529025658,282.19396154733704,284.8191498346255
2019-10-02-22,277.5640109966292,225.58798337374031,265.1493581063016,266.5010475795691,325.84535268987867
2019-10-02-23,285.16559112085577,256.3895292252943,269.9467672890229,238.7987128751468,329.6570655438237
