UTC,濟州,那霸機場,上海,福州,廈門
2019-11-27-00,22.237594092936547,26.00857656477126,4.201160468926503,36.951652082102584,40.66963420508006
2019-11-27-01,14.921931024506847,22.78501055407483,6.521306573167408,47.03947588236346,45.074284816150936
2019-11-27-02,8.047798082293639,19.162292441743034,13.999747568368775,57.75316955075985,49.32602228530013
2019-11-27-03,10.81380867989941,9.868250312566147,15.72969461716201,54.163432754023546,57.204708683799026
2019-11-27-04,3.5534745042962754,348.82459947910337,12.753568254728293,48.10951484990329,61.09185351640468
2019-11-27-05,358.1802357236992,344.0869281999084,9.031312779416282,63.23921294581649,76.02466537180632
2019-11-27-06,355.94307422535906,346.55212597504277,10.854739647263784,75.34128492729582,84.24672647869136
2019-11-27-07,0.0,346.73108591730386,0.28004247181888786,81.19510507602868,82.42297065680162
2019-11-27-08,356.44064371474735,336.7141293202646,5.231405964642818,79.31206801662367,77.53694315589698
2019-11-27-09,358.2768308880062,352.3071666885814,359.6855492650853,77.4312393092417,68.83301378712991
2019-11-27-10,3.392068813023343,350.6212830098919,13.798817938551394,74.0383297922429,63.43324529189343
2019-11-27-11,357.9552334725911,349.47407910281856,4.633869059839071,65.01097515387252,59.18750549916868
2019-11-27-12,2.8219288262411055,349.82636062393703,349.1274280823741,57.207607976348356,51.93633608361438
2019-11-27-13,3.340932348902811,352.90478046517956,349.88705783990366,60.98115259401243,40.79849776192418
2019-11-27-14,1.8281244700423258,341.1328499024647,12.408557026457629,55.95425245577698,43.26324954091865
2019-11-27-15,1.7596197649987175,340.64757319862736,14.197378581380832,56.38991463946056,44.34467029977279
2019-11-27-16,2.5475926082634714,340.62446353248225,12.65190783147375,49.369076708984835,42.15795411811007
2019-11-27-17,358.6631271741511,327.707165035393,11.810034448012857,46.31256930920364,37.90686441301443
2019-11-27-18,1.5870744711329507,325.2506436647629,9.733290801113355,49.05857972383919,42.4397393938728
2019-11-27-19,4.748969882687106,334.04863570322243,7.5045423468772015,47.22437647397126,43.059616525278045
2019-11-27-20,1.3442379130746076,342.9480204682618,0.8092245746639151,44.18252252396326,43.34518628903206
2019-11-27-21,1.7991205517219555,346.88919978886446,1.1251889755973252,39.74816149630516,42.89470332253961
2019-11-27-22,3.3638429788615554,349.2628867401627,2.7898057987079596,43.619251655433345,47.39638639570015
2019-11-27-23,1.8182061622630954,349.6763033340962,0.7570594103682424,44.75438873410073,47.571552662260785
