UTC,濟州,那霸機場,上海,福州,廈門
2019-05-19-00,256.3159750442742,303.22472085175957,299.7486784278035,200.96992842397037,237.48623333571624
2019-05-19-01,257.6782063823408,303.00908040376066,285.78929784127047,163.14271805536447,228.89437895566263
2019-05-19-02,270.5911539020514,301.3416726321587,306.18345197354296,166.3319369926,219.91346081333575
2019-05-19-03,253.39772275789912,294.1575060194845,344.7479595518606,149.98117542021905,217.5796360336537
2019-05-19-04,261.42130235788824,298.3396667912117,341.3534072473037,157.3489014501771,214.7854530666657
2019-05-19-05,234.4075299434492,302.71652165356954,342.22686905853857,142.25290820601583,208.70906826408907
2019-05-19-06,241.64922314617957,305.376312409948,346.47241200959655,106.52723301676693,205.13580933675075
2019-05-19-07,237.5408804675083,309.0986480138958,43.93082784689619,161.7450173464687,198.86522949088538
2019-05-19-08,235.32393231222355,320.38651729857145,78.42561599272878,173.91024974810176,205.06538566435165
2019-05-19-09,235.34702135025086,334.3213464920525,84.8730291165067,172.2543722562125,211.63491821046676
2019-05-19-10,229.92103464906535,20.001478129653407,86.81239355746763,178.3827567803674,205.1296050295431
2019-05-19-11,227.37213893450775,73.06904789191645,86.53921321319157,185.0831631030256,215.72147161172603
2019-05-19-12,231.78109845577654,90.28777672308806,97.30401082327236,158.82038199151677,196.8341639877729
2019-05-19-13,222.70501332764806,102.98679634737641,111.58328744766817,204.69609800897763,198.47661345090336
2019-05-19-14,227.52787768407902,118.96727093056984,85.76204193745053,154.14301557555734,211.59516279718335
2019-05-19-15,222.84010081516107,135.6596225350885,88.35875331889207,59.02959030126084,203.13429758397973
2019-05-19-16,231.52207634924588,121.26536738626635,190.4260850987552,79.12462399704282,199.80300123563768
2019-05-19-17,234.0392992037097,134.26220866295736,227.0108759134086,94.52428798046438,215.82177996388725
2019-05-19-18,236.6634511524116,145.7179209164959,272.59790345534935,79.89379979789004,217.2702351640263
2019-05-19-19,241.98951529097025,156.02276999814325,284.39315898566093,73.42524634345804,226.0743813990701
2019-05-19-20,256.91389653801946,209.5813662098261,312.8966920436506,18.669348730620897,223.3870068733703
2019-05-19-21,270.0062389043505,201.817570148662,342.3682612087488,353.6720574789104,255.5281347453545
2019-05-19-22,273.8483412120168,169.23667997753722,3.46512878205516,36.72020901313874,265.29756936434933
2019-05-19-23,287.59653752274056,182.95029915481052,10.643343890617246,55.36321956814393,346.5804372882063
