UTC,濟州,那霸機場,上海,福州,廈門
2019-05-13-00,335.7263098100419,104.37962896016788,174.37182986259023,229.7547620654011,346.32822651796056
2019-05-13-01,21.26310933683726,113.34496802568529,171.74522147258904,210.3869252805492,96.58986028079397
2019-05-13-02,24.389543580489374,106.17609502747379,150.0857525516917,173.93921022311724,125.39735390244638
2019-05-13-03,34.70137933013052,112.11043025454893,138.28087533986687,178.9076166061226,146.20346200445425
2019-05-13-04,24.99991384609524,120.16737579690522,178.94418262223448,186.61726374150894,155.2950626466199
2019-05-13-05,355.9299247570172,118.55384401465238,176.66116511844754,186.47060540380153,162.0413130309367
2019-05-13-06,327.1620853351126,114.60010882028175,166.3342768197316,165.5477324744847,163.5426088871294
2019-05-13-07,354.73897574175766,96.17474791894057,150.95207174732525,162.30211950721167,164.50841369306434
2019-05-13-08,339.10429287452575,97.82932822256024,149.55174229196496,159.89761006276382,173.4425431547109
2019-05-13-09,319.0659288483463,107.61904714866523,141.0433497317493,137.09746937625133,183.67974660177705
2019-05-13-10,323.1630425738083,97.41738403907132,154.1108938901317,129.42503434503737,187.39597202292254
2019-05-13-11,329.76305933825415,115.891538960545,148.2851257601681,141.1493591227311,202.18035225251376
2019-05-13-12,145.2830259405194,113.72173625040031,148.97339132979246,162.93667847321817,212.96891919840917
2019-05-13-13,141.46500366516509,122.23227744627243,141.50860137966262,154.34448271410554,215.93240138745853
2019-05-13-14,103.28050025196629,132.8608282633737,125.17975047120831,138.67234740000694,219.2195402913305
2019-05-13-15,149.59096694826556,141.84629020525932,137.68898298900967,135.25271851008804,220.14794426066678
2019-05-13-16,62.95564426551448,132.2473452254266,142.17700064713733,102.06242288240173,236.08896775460462
2019-05-13-17,351.2894892582143,143.6088217512468,143.8042540273635,115.90408613378028,228.63630406559736
2019-05-13-18,25.501192324710672,153.55742628523214,137.81568335483595,94.49023634369351,238.1121803044404
2019-05-13-19,115.22123735405202,162.37236366161812,125.06220347917338,85.90862091656899,248.34925222219852
2019-05-13-20,134.0201544002385,164.41088729235653,74.60344954218851,70.19250637617935,246.80756985623609
2019-05-13-21,156.22322783622857,176.26325502473156,76.92775612545964,89.27324374973801,251.02167316908177
2019-05-13-22,142.87448410696106,178.64422992867938,80.77202847973214,103.78717486963433,240.18977962931442
2019-05-13-23,11.821287754720458,199.51416170160167,92.53726821218248,123.49143414618572,251.68235399743173
