,MFB,MFE,R
台東,-0.567,0.612,0.787
花蓮,-0.552,0.615,0.69
埔里,-0.46,0.496,0.48
關山,-1.072,1.072,0.661
overal,-0.656,0.693,0.787
Criteria,-0.35/0.35,0/0.55,0.5
合格率,0%,25%,75%
合格站數,0,1,3
