,MFB,MFE,R
台東,-1.432,1.432,0.26
花蓮,-0.46,0.577,0.018
埔里,-0.842,0.87,-0.054
關山,-1.489,1.489,0.26
overal,-1.045,1.082,0.367
Criteria,-0.65/0.65,0/0.85,0.45
合格率,25%,25%,0%
合格站數,1,1,0
