,MFB,MFE,R
台東,-0.75,0.792,0.797
花蓮,0.216,0.388,0.799
埔里,-0.11,0.383,0.516
關山,-0.993,0.993,0.741
overal,-0.404,0.637,0.774
Criteria,-0.35/0.35,0/0.55,0.5
合格率,50%,50%,100%
合格站數,2,2,4
