,MFB,MFE,R
台東,-1.302,1.302,0.364
花蓮,-0.174,0.348,0.284
埔里,-0.923,0.923,0.198
關山,-1.005,1.005,-0.339
overal,-0.846,0.891,0.591
Criteria,-0.65/0.65,0/0.85,0.45
合格率,25%,25%,0%
合格站數,1,1,0
