,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-18-00,-1.5,9.2,9.9,21.6,-5.8,8.7,16.5,17.2
2019-12-18-01,-999.0,-999.0,12.3,22.0,-999.0,-999.0,-999.0,-999.0
2019-12-18-02,-999.0,-999.0,13.3,22.9,-999.0,-999.0,-999.0,-999.0
2019-12-18-03,2.5,8.8,13.9,22.9,-0.2,8.7,16.7,19.5
2019-12-18-04,-999.0,-999.0,14.8,22.8,-999.0,-999.0,-999.0,-999.0
2019-12-18-05,-999.0,-999.0,14.3,22.9,-999.0,-999.0,-999.0,-999.0
2019-12-18-06,4.7,8.7,15.1,22.6,0.8,8.5,16.7,21.4
2019-12-18-07,-999.0,-999.0,14.9,22.5,-999.0,-999.0,-999.0,-999.0
2019-12-18-08,-999.0,-999.0,13.5,22.2,-999.0,-999.0,-999.0,-999.0
2019-12-18-09,1.7,8.2,14.0,21.8,-0.4,7.7,15.2,18.7
2019-12-18-10,-999.0,-999.0,12.7,21.6,-999.0,-999.0,-999.0,-999.0
2019-12-18-11,-999.0,-999.0,11.3,21.3,-999.0,-999.0,-999.0,-999.0
2019-12-18-12,0.2,7.7,11.2,21.2,-2.1,6.5,14.6,17.2
2019-12-18-13,-999.0,-999.0,10.1,20.9,-999.0,-999.0,-999.0,-999.0
2019-12-18-14,-999.0,-999.0,10.6,20.9,-999.0,-999.0,-999.0,-999.0
2019-12-18-15,-1.0,7.7,10.5,20.7,-4.2,5.0,13.7,16.7
2019-12-18-16,-999.0,-999.0,10.4,20.7,-999.0,-999.0,-999.0,-999.0
2019-12-18-17,-999.0,-999.0,10.2,20.4,-999.0,-999.0,-999.0,-999.0
2019-12-18-18,-2.5,8.1,9.9,20.2,-4.8,4.7,13.9,16.6
2019-12-18-19,-999.0,-999.0,9.9,20.0,-999.0,-999.0,-999.0,-999.0
2019-12-18-20,-999.0,-999.0,9.7,19.8,-999.0,-999.0,-999.0,-999.0
2019-12-18-21,-3.5,7.6,9.3,19.8,-2.2,5.1,13.6,16.7
2019-12-18-22,-999.0,-999.0,9.2,19.9,-999.0,-999.0,-999.0,-999.0
2019-12-18-23,-999.0,-999.0,9.3,20.1,-999.0,-999.0,-999.0,-999.0
