,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-03-24-00,3.0,7.0,8.7,17.2,5.0,9.7,10.8,10.0
2019-03-24-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-03-24-02,-999.0,-999.0,11.8,18.4,-999.0,-999.0,-999.0,-999.0
2019-03-24-03,8.6,9.3,12.9,19.1,12.0,13.7,11.9,12.1
2019-03-24-04,-999.0,-999.0,14.2,18.5,-999.0,-999.0,-999.0,-999.0
2019-03-24-05,-999.0,-999.0,13.4,18.5,-999.0,-999.0,-999.0,-999.0
2019-03-24-06,9.0,10.5,12.8,18.9,18.9,15.0,12.5,14.5
2019-03-24-07,-999.0,-999.0,12.5,18.4,-999.0,-999.0,-999.0,-999.0
2019-03-24-08,-999.0,-999.0,11.9,18.5,-999.0,-999.0,-999.0,-999.0
2019-03-24-09,7.2,8.2,10.3,17.9,19.4,12.6,11.8,12.7
2019-03-24-10,-999.0,-999.0,9.9,17.7,-999.0,-999.0,-999.0,-999.0
2019-03-24-11,-999.0,-999.0,9.5,17.5,-999.0,-999.0,-999.0,-999.0
2019-03-24-12,4.0,7.6,8.0,17.5,15.2,11.2,10.1,12.8
2019-03-24-13,-999.0,-999.0,7.5,17.4,-999.0,-999.0,-999.0,-999.0
2019-03-24-14,-999.0,-999.0,6.8,17.5,-999.0,-999.0,-999.0,-999.0
2019-03-24-15,3.2,6.9,6.2,17.3,11.8,10.7,10.1,12.3
2019-03-24-16,-999.0,-999.0,5.7,17.4,-999.0,-999.0,-999.0,-999.0
2019-03-24-17,-999.0,-999.0,5.1,17.1,-999.0,-999.0,-999.0,-999.0
2019-03-24-18,3.0,6.5,4.4,17.9,5.9,10.5,10.2,12.9
2019-03-24-19,-999.0,-999.0,4.4,17.6,-999.0,-999.0,-999.0,-999.0
2019-03-24-20,-999.0,-999.0,4.3,17.8,-999.0,-999.0,-999.0,-999.0
2019-03-24-21,3.7,6.7,4.5,17.6,3.7,9.7,10.2,12.7
2019-03-24-22,-999.0,-999.0,5.4,18.3,-999.0,-999.0,-999.0,-999.0
2019-03-24-23,-999.0,-999.0,7.2,19.4,-999.0,-999.0,-999.0,-999.0
