,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-03-01-00,3.5,8.7,7.7,20.3,2.8,8.1,11.0,14.0
2019-03-01-01,-999.0,-999.0,8.7,20.7,-999.0,-999.0,-999.0,-999.0
2019-03-01-02,-999.0,-999.0,9.6,20.9,-999.0,-999.0,-999.0,-999.0
2019-03-01-03,10.7,11.1,11.5,21.4,10.2,10.2,11.8,16.2
2019-03-01-04,-999.0,-999.0,11.4,21.4,-999.0,-999.0,-999.0,-999.0
2019-03-01-05,-999.0,-999.0,12.3,22.0,-999.0,-999.0,-999.0,-999.0
2019-03-01-06,13.0,11.7,12.2,22.1,13.6,10.5,14.3,18.7
2019-03-01-07,-999.0,-999.0,11.9,22.0,-999.0,-999.0,-999.0,-999.0
2019-03-01-08,-999.0,-999.0,10.5,22.0,-999.0,-999.0,-999.0,-999.0
2019-03-01-09,10.1,10.4,8.0,21.3,13.4,9.0,13.1,16.5
2019-03-01-10,-999.0,-999.0,8.0,20.9,-999.0,-999.0,-999.0,-999.0
2019-03-01-11,-999.0,-999.0,9.3,20.8,-999.0,-999.0,-999.0,-999.0
2019-03-01-12,6.5,9.7,8.7,20.7,9.7,8.5,12.2,14.8
2019-03-01-13,-999.0,-999.0,9.0,20.6,-999.0,-999.0,-999.0,-999.0
2019-03-01-14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-03-01-15,4.7,8.7,8.5,20.6,7.4,8.2,11.7,14.3
2019-03-01-16,-999.0,-999.0,7.8,20.4,-999.0,-999.0,-999.0,-999.0
2019-03-01-17,-999.0,-999.0,8.2,20.4,-999.0,-999.0,-999.0,-999.0
2019-03-01-18,3.5,8.1,8.0,19.7,3.8,8.2,11.8,14.4
2019-03-01-19,-999.0,-999.0,7.2,19.1,-999.0,-999.0,-999.0,-999.0
2019-03-01-20,-999.0,-999.0,7.2,18.5,-999.0,-999.0,-999.0,-999.0
2019-03-01-21,1.7,8.6,7.1,19.0,0.9,8.1,11.8,14.2
2019-03-01-22,-999.0,-999.0,6.8,18.6,-999.0,-999.0,-999.0,-999.0
2019-03-01-23,-999.0,-999.0,8.3,19.2,-999.0,-999.0,-999.0,-999.0
