,MB,MNB,MNE,R
濟州,-0.128,-0.147,0.224,0.273
沖繩,0.039,0.006,0.165,0.084
上海,-0.005,-0.263,0.339,0.516
福州,0.218,0.087,0.218,0.36
廈門,0.273,0.157,0.224,0.574
overal,0.079,-0.059,0.23,0.283
Criteria,-0.1/0.1,-0.15/0.15,0.0/0.35,0.45
合格率,40%,60%,100%,40%
合格站數,2,3,5,2
