,MNB,MNE,R
濟州,-0.67,0.697,0.172
沖繩,-0.781,0.808,-0.121
上海,0.076,0.303,0.595
福州,-0.46,0.492,0.523
廈門,-0.493,0.548,0.279
overal,-0.466,0.57,0.634
Criteria,-0.4/0.5,0.0/0.8,0.35
合格率,20%,80%,40%
合格站數,1,4,2
