經度,緯度,八小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.56439,21.830559,0.0068817138671875,50.53,50.53
119.59445,21.830643,0.00753021240234375,40.68,40.69
119.62448,21.830727,0.00811004638671875,53.1,53.11
119.65454,21.830818,0.00916290283203125,53.23,53.24
119.68457,21.830894,0.0102081298828125,69.9,69.91
119.7146,21.830925,0.0111846923828125,70.46,70.47
119.74466,21.830986,0.01222991943359375,71.56,71.57
119.77469,21.83104,0.013092041015625,72.12,72.13
119.80475,21.831085,0.0134124755859375,72.36,72.37
119.83478,21.831123,0.01329803466796875,72.39,72.4
119.86481,21.831146,0.01305389404296875,72.17,72.18
119.89484,21.831177,0.0121307373046875,72.44,72.45
119.9249,21.831207,0.013423919677734375,50.24,50.26
119.954926,21.831223,0.013702392578125,64.86,64.87
119.984985,21.831223,0.01303863525390625,63.88,63.89
120.015015,21.831223,0.012298583984375,62.59,62.6
120.045044,21.831223,0.012409210205078125,58.76,58.78
120.0751,21.831207,0.0131378173828125,70.85,70.86
120.10513,21.831177,0.01409912109375,71.73,71.74
120.13519,21.831146,0.01468658447265625,72.13,72.15
120.16522,21.831123,0.014362335205078125,58.9,58.91
120.19525,21.831085,0.014736175537109375,56.67,56.69
120.22531,21.83104,0.015533447265625,72.2,72.21
120.25534,21.830986,0.015560150146484375,61.03,61.05
120.2854,21.830925,0.01261138916015625,58.2,58.21
120.31543,21.830894,0.00966644287109375,48.92,48.93
120.34546,21.830818,0.010101318359375,68.27,68.28
120.37549,21.830727,0.009410858154296875,60.15,60.16
120.40555,21.830643,0.008846282958984375,46.81,46.82
120.43558,21.830559,0.00725555419921875,46.08,46.09
120.46564,21.830467,0.0066070556640625,54.01,54.02
120.49567,21.830376,0.006195068359375,53.01,53.02
120.525696,21.830269,0.00592803955078125,52.34,52.34
120.555756,21.830132,0.004993438720703125,54.76,54.76
120.585785,21.83004,0.003398895263671875,59.93,59.94
120.615845,21.829918,0.003269195556640625,59.54,59.54
120.645874,21.82978,0.00333404541015625,45.93,45.94
120.6759,21.829636,0.001636505126953125,60.5,60.5
120.70593,21.829483,0.0010223388671875,42.09,42.09
120.73599,21.829353,0.000614166259765625,54.69,54.7
120.76602,21.8292,0.000514984130859375,54.47,54.47
120.79608,21.829018,0.000438690185546875,54.28,54.28
120.82611,21.828857,0.000385284423828125,54.08,54.08
120.85614,21.828682,0.000370025634765625,53.94,53.94
120.88617,21.828499,0.000431060791015625,53.76,53.76
120.91623,21.8283,0.000469207763671875,53.62,53.62
120.94626,21.828125,0.00046539306640625,53.36,53.36
120.97632,21.827919,0.000446319580078125,53.17,53.17
121.00635,21.827705,0.0004119873046875,52.93,52.93
121.03638,21.827492,0.0003509521484375,52.63,52.63
121.06641,21.827286,0.000324249267578125,52.46,52.46
121.096466,21.82705,0.00031280517578125,52.4,52.4
121.126495,21.826813,0.000324249267578125,52.33,52.33
121.156525,21.826591,0.000194549560546875,47.37,47.37
121.186584,21.826332,0.00019073486328125,47.5,47.5
121.21661,21.826103,0.00017547607421875,47.62,47.62
121.24664,21.825844,0.00019073486328125,51.88,51.88
121.27667,21.825562,0.000152587890625,51.69,51.69
121.30673,21.825302,0.000110626220703125,51.58,51.58
121.33676,21.825027,9.1552734375e-05,51.29,51.29
121.36679,21.824745,8.392333984375e-05,50.59,50.59
121.39685,21.824463,7.62939453125e-05,43.0,43.0
121.42688,21.824165,6.866455078125e-05,43.04,43.04
121.45691,21.823868,6.103515625e-05,43.1,43.1
121.48694,21.823578,5.340576171875e-05,39.65,39.65
121.517,21.82325,5.340576171875e-05,39.7,39.7
121.54703,21.822922,4.57763671875e-05,43.12,43.12
121.57706,21.822594,3.814697265625e-05,50.61,50.61
121.60712,21.82228,4.1961669921875e-05,50.4,50.4
121.637146,21.821938,3.4332275390625e-05,50.2,50.2
121.667175,21.821594,3.0517578125e-05,50.0,50.0
121.697205,21.82125,2.288818359375e-05,43.68,43.68
121.727234,21.820892,1.52587890625e-05,39.96,39.96
121.75726,21.820526,1.1444091796875e-05,48.75,48.75
121.78732,21.820137,7.62939453125e-06,42.28,42.28
121.81735,21.819778,7.62939453125e-06,35.38,35.38
121.84738,21.819397,7.62939453125e-06,43.42,43.42
121.87741,21.819,7.62939453125e-06,44.36,44.36
121.90747,21.818604,7.62939453125e-06,49.13,49.13
121.9375,21.81823,7.62939453125e-06,36.8,36.8
121.96753,21.81781,7.62939453125e-06,44.66,44.66
121.99756,21.817406,7.62939453125e-06,35.29,35.29
122.02759,21.816978,7.62939453125e-06,38.33,38.33
119.293884,21.857368,0.005496978759765625,57.32,57.33
119.323944,21.857529,0.00560760498046875,57.85,57.85
119.35397,21.857674,0.0056610107421875,58.4,58.41
119.38403,21.857796,0.005664825439453125,58.87,58.88
119.41406,21.857918,0.005611419677734375,59.21,59.22
119.44412,21.858025,0.005558013916015625,59.4,59.41
119.47418,21.858147,0.005481719970703125,59.6,59.61
119.50421,21.858261,0.005443572998046875,59.84,59.85
119.53427,21.858345,0.005893707275390625,38.08,38.09
119.5643,21.858452,0.005802154541015625,49.84,49.85
119.59436,21.858528,0.0066070556640625,40.37,40.38
119.62439,21.858612,0.007030487060546875,53.03,53.04
119.65445,21.858696,0.008197784423828125,53.21,53.22
119.68451,21.858765,0.0092010498046875,53.43,53.44
119.71454,21.858826,0.010166168212890625,53.48,53.49
119.7446,21.85888,0.01070404052734375,70.66,70.67
119.77466,21.858925,0.0118255615234375,71.45,71.46
119.80469,21.858963,0.012939453125,72.07,72.09
119.83472,21.859001,0.01364898681640625,72.37,72.38
119.86478,21.859032,0.0135345458984375,72.26,72.28
119.89484,21.859062,0.01335906982421875,72.7,72.71
119.924866,21.859077,0.0128326416015625,72.23,72.24
119.954926,21.8591,0.01308441162109375,50.46,50.48
119.984985,21.8591,0.014129638671875,65.65,65.66
120.015015,21.8591,0.01335906982421875,64.81,64.82
120.045074,21.8591,0.012439727783203125,63.58,63.59
120.0751,21.859077,0.01285552978515625,58.98,58.99
120.10516,21.859062,0.013835906982421875,58.98,58.99
120.13519,21.859032,0.014537811279296875,58.99,59.0
120.16525,21.859001,0.014560699462890625,59.03,59.04
120.19531,21.858963,0.01461029052734375,70.77,70.78
120.22534,21.858925,0.015380859375,71.89,71.9
120.2554,21.85888,0.01619720458984375,72.53,72.55
120.28546,21.858826,0.016506195068359375,62.53,62.55
120.31549,21.858765,0.013156890869140625,60.07,60.08
120.34555,21.858696,0.01015472412109375,67.75,67.76
120.37558,21.858612,0.010467529296875,69.2,69.21
120.40564,21.858528,0.01084136962890625,62.26,62.27
120.43567,21.858452,0.008907318115234375,59.42,59.42
120.46573,21.858345,0.0071563720703125,56.49,56.5
120.49579,21.858261,0.00664520263671875,53.77,53.77
120.52582,21.858147,0.006237030029296875,52.86,52.87
120.55588,21.858025,0.006038665771484375,51.36,51.36
120.58591,21.857918,0.00476837158203125,54.13,54.13
120.61597,21.857796,0.0035400390625,60.55,60.56
120.645996,21.857674,0.003749847412109375,61.25,61.25
