經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
120.13519,21.831146,0.00010162592,0.69,0.69
120.16522,21.831123,0.000100553036,0.69,0.69
120.19525,21.831085,0.000100672245,0.68,0.68
120.22531,21.83104,8.3982944e-05,0.65,0.65
120.25534,21.830986,7.659197e-05,0.62,0.62
120.2854,21.830925,6.324053e-05,0.58,0.58
120.31543,21.830894,5.6266785e-05,0.52,0.52
120.34546,21.830818,5.2034855e-05,0.47,0.47
120.37549,21.830727,4.425645e-05,0.41,0.41
120.40555,21.830643,3.761053e-05,0.35,0.35
120.43558,21.830559,3.6537647e-05,0.3,0.3
120.46564,21.830467,2.592802e-05,0.26,0.26
120.49567,21.830376,2.0474195e-05,0.23,0.23
120.525696,21.830269,1.603365e-05,0.2,0.2
120.555756,21.830132,1.2144446e-05,0.17,0.17
120.585785,21.83004,8.806586e-06,0.16,0.16
120.615845,21.829918,5.990267e-06,0.14,0.14
120.645874,21.82978,4.142523e-06,0.13,0.13
120.6759,21.829636,2.8014183e-06,0.13,0.13
120.70593,21.829483,2.115965e-06,0.13,0.13
120.73599,21.829353,2.1606684e-06,0.12,0.12
120.76602,21.8292,2.1830201e-06,0.12,0.12
120.79608,21.829018,1.9818544e-06,0.12,0.12
120.82611,21.828857,1.9222498e-06,0.12,0.12
120.85614,21.828682,1.8849969e-06,0.12,0.12
120.88617,21.828499,1.9595027e-06,0.12,0.12
120.91623,21.8283,1.937151e-06,0.12,0.12
120.94626,21.828125,1.7955899e-06,0.11,0.11
120.97632,21.827919,1.2516975e-06,0.11,0.11
121.00635,21.827705,9.313226e-07,0.11,0.11
121.03638,21.827492,9.0152025e-07,0.11,0.11
121.06641,21.827286,7.599592e-07,0.11,0.11
121.096466,21.82705,5.289912e-07,0.11,0.11
121.126495,21.826813,3.2782555e-07,0.1,0.1
121.156525,21.826591,3.3527613e-07,0.1,0.1
121.186584,21.826332,3.2037497e-07,0.1,0.1
121.21661,21.826103,2.8312206e-07,0.1,0.1
121.24664,21.825844,2.682209e-07,0.1,0.1
121.27667,21.825562,2.3841858e-07,0.1,0.1
121.30673,21.825302,1.3411045e-07,0.09,0.09
121.33676,21.825027,8.940697e-08,0.09,0.09
121.36679,21.824745,1.5646219e-07,0.09,0.09
121.39685,21.824463,1.5646219e-07,0.09,0.09
121.42688,21.824165,1.1175871e-07,0.09,0.09
121.45691,21.823868,1.1175871e-07,0.09,0.09
121.48694,21.823578,5.2154064e-08,0.09,0.09
121.517,21.82325,1.4901161e-08,0.09,0.09
121.54703,21.822922,3.7252903e-08,0.09,0.09
121.57706,21.822594,5.9604645e-08,0.09,0.09
121.60712,21.82228,5.2154064e-08,0.09,0.09
121.637146,21.821938,1.5646219e-07,0.09,0.09
121.667175,21.821594,4.4703484e-08,0.09,0.09
121.697205,21.82125,-2.9802322e-08,0.09,0.09
121.727234,21.820892,-1.4901161e-08,0.09,0.09
121.75726,21.820526,2.9802322e-08,0.09,0.09
121.78732,21.820137,2.9802322e-08,0.09,0.09
121.81735,21.819778,1.4901161e-08,0.09,0.09
121.84738,21.819397,0.0,0.09,0.09
121.87741,21.819,-7.450581e-09,0.09,0.09
121.90747,21.818604,-1.4901161e-08,0.1,0.1
121.9375,21.81823,1.4901161e-08,0.1,0.1
121.96753,21.81781,0.0,0.1,0.1
121.99756,21.817406,2.2351742e-08,0.11,0.11
122.02759,21.816978,-7.450581e-09,0.12,0.12
119.293884,21.857368,2.6643276e-05,0.26,0.26
119.323944,21.857529,2.8520823e-05,0.26,0.26
