經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
120.22531,21.83104,0.00067055225,1.19,1.19
120.25534,21.830986,0.0006150007,1.15,1.15
120.2854,21.830925,0.0005636215,1.09,1.09
120.31543,21.830894,0.0005325079,1.01,1.01
120.34546,21.830818,0.00047457218,0.92,0.92
120.37549,21.830727,0.00038522482,0.8,0.8
120.40555,21.830643,0.0002667904,0.66,0.66
120.43558,21.830559,0.00016784668,0.54,0.54
120.46564,21.830467,0.00011757016,0.47,0.47
120.49567,21.830376,8.255243e-05,0.41,0.41
120.525696,21.830269,5.5104494e-05,0.36,0.36
120.555756,21.830132,3.117323e-05,0.32,0.32
120.585785,21.83004,1.5288591e-05,0.29,0.29
120.615845,21.829918,6.765127e-06,0.27,0.27
120.645874,21.82978,3.8444996e-06,0.25,0.25
120.6759,21.829636,1.6391277e-06,0.24,0.24
120.70593,21.829483,7.4505806e-07,0.23,0.23
120.73599,21.829353,6.7055225e-07,0.22,0.22
120.76602,21.8292,6.4074993e-07,0.21,0.21
120.79608,21.829018,4.3213367e-07,0.21,0.21
120.82611,21.828857,4.0233135e-07,0.21,0.21
120.85614,21.828682,4.0233135e-07,0.21,0.21
120.88617,21.828499,3.2782555e-07,0.21,0.21
120.91623,21.8283,4.3213367e-07,0.21,0.21
120.94626,21.828125,3.7252903e-07,0.21,0.21
120.97632,21.827919,3.874302e-07,0.21,0.21
121.00635,21.827705,3.874302e-07,0.21,0.21
121.03638,21.827492,4.3213367e-07,0.21,0.21
121.06641,21.827286,3.2782555e-07,0.21,0.21
121.096466,21.82705,2.2351742e-07,0.21,0.21
121.126495,21.826813,2.9802322e-07,0.21,0.21
121.156525,21.826591,2.5331974e-07,0.21,0.21
121.186584,21.826332,2.682209e-07,0.22,0.22
121.21661,21.826103,2.0861626e-07,0.22,0.22
121.24664,21.825844,1.937151e-07,0.22,0.22
121.27667,21.825562,1.7881393e-07,0.22,0.22
121.30673,21.825302,7.4505806e-08,0.22,0.22
121.33676,21.825027,8.940697e-08,0.22,0.22
121.36679,21.824745,1.0430813e-07,0.23,0.23
121.39685,21.824463,4.4703484e-08,0.23,0.23
121.42688,21.824165,7.4505806e-08,0.24,0.24
121.45691,21.823868,1.1920929e-07,0.23,0.23
121.48694,21.823578,-2.9802322e-08,0.23,0.23
121.517,21.82325,5.9604645e-08,0.23,0.23
121.54703,21.822922,0.0,0.23,0.23
