,MFB,MFE,R
濟州,-0.86,0.885,0.509
沖繩,-0.982,0.982,0.233
上海,0.757,0.757,0.602
福州,0.378,0.381,0.492
廈門,0.248,0.266,0.472
overal,0.096,0.585,0.574
Criteria,-0.65/0.65,0/0.85,0.45
合格率,40%,60%,80%
合格站數,2,3,4
