,MFB,MFE,R
濟州,-0.169,0.61,0.79
沖繩,0.494,0.816,0.674
上海,0.296,0.328,0.844
福州,-0.004,0.381,0.7
廈門,0.1,0.353,0.702
overal,0.144,0.497,0.83
Criteria,-0.35/0.35,0/0.55,0.5
合格率,80%,60%,100%
合格站數,4,3,5
