,MFB,MFE,R
濟州,-1.651,1.651,0.166
沖繩,-1.464,1.534,-0.174
上海,0.026,0.184,0.771
福州,-0.714,0.714,0.428
廈門,-0.669,0.669,0.562
overal,-0.894,0.951,0.813
Criteria,-0.65/0.65,0/0.85,0.45
合格率,20%,60%,40%
合格站數,1,3,2
