,MFB,MFE,R
濟州,-0.043,0.395,0.697
沖繩,0.547,0.755,0.654
上海,0.255,0.309,0.847
福州,-0.292,0.466,0.509
廈門,-0.197,0.317,0.737
overal,0.056,0.448,0.749
Criteria,-0.35/0.35,0/0.55,0.5
合格率,80%,80%,100%
合格站數,4,4,5
