UTC,首爾,東京,北京
2019-12-22-00,1.5894123401163658,4.0028117158062635,2.2260382366318767
2019-12-22-01,1.2853152253346662,4.19297654526309,2.563715457041845
2019-12-22-02,1.3575639728613416,4.380625242570592,2.2330577390557558
2019-12-22-03,1.0373231516531682,4.289824555848314,1.4826556173089964
2019-12-22-04,1.2366576758411219,4.379659988526384,1.3340537569769477
2019-12-22-05,1.2193913916702188,4.44347658033267,1.75488980832214
2019-12-22-06,0.9745797172688995,4.85558797669497,2.405706345703831
2019-12-22-07,0.8962411851003824,5.514669061041472,2.981594483067491
2019-12-22-08,1.058422294387807,4.907942256750713,3.056109451386383
2019-12-22-09,1.6937715243319207,4.656440235019118,3.6734081713615696
2019-12-22-10,2.3429254240175186,4.876175592818516,4.031541819099831
2019-12-22-11,2.1314959247812597,5.049568669679982,4.19062432778264
2019-12-22-12,1.9730956259463284,4.862095917436626,3.8051735215812816
2019-12-22-13,2.2016228917783356,5.405554304445994,3.4781854096496243
2019-12-22-14,2.754562943050886,5.385711789566094,3.1600438765139423
2019-12-22-15,2.961664676750973,5.547488776211064,3.1058945992558074
2019-12-22-16,2.8326070462428747,5.690147733950421,2.9017444180020417
2019-12-22-17,2.5749662156787396,5.817299040629477,2.644750175913774
2019-12-22-18,2.236932426411374,5.597422318831032,2.426395614450169
2019-12-22-19,2.230232610528106,5.323520340575296,1.9566954948141504
2019-12-22-20,1.4160950994576915,4.400679114044885,1.411842072476718
2019-12-22-21,1.6917933437853045,3.9117884441246784,1.2911629694583617
2019-12-22-22,2.525584166311872,3.498442584528172,1.548838746973848
2019-12-22-23,3.098133763031067,2.8517504917147845,1.8786293599013657
