UTC,首爾,東京,北京
2019-06-28-00,2.0992635652050677,1.8793450755124008,1.671770768323895
2019-06-28-01,2.2274493880948936,2.4830333283452664,1.4536780599388353
2019-06-28-02,2.7090973975170956,1.3438201390007072,1.4970496517357477
2019-06-28-03,2.9734229610343963,1.3992951891124292,1.0787947569284209
2019-06-28-04,3.4098308954925356,1.6318559299768498,0.420219178986212
2019-06-28-05,3.91791996347502,2.1756853997343537,0.5693526829639971
2019-06-28-06,3.4611188945315474,3.2203285496581566,1.6272199488968624
2019-06-28-07,3.667519471796474,2.360190016017214,2.563050768718884
2019-06-28-08,4.132993385685698,4.226030859785316,3.503230416550385
2019-06-28-09,4.100310864063427,2.6832029004028715,3.9416951181029005
2019-06-28-10,4.1647332369177485,1.7284966248776672,4.021774141138591
2019-06-28-11,3.7213753125962103,1.4179187003023135,3.8446920280274886
2019-06-28-12,3.1356182138293245,3.1029650627440715,3.079344517750205
2019-06-28-13,3.1848290118576497,3.7924007052959468,2.776056742310069
2019-06-28-14,2.5817142306100602,3.770130483562871,2.50550322423259
2019-06-28-15,2.320486803892402,3.4101386088635866,2.4057436994928802
2019-06-28-16,2.22732459853935,3.0949682932040967,2.1261284940360654
2019-06-28-17,1.6227688369685267,3.2258787967141838,1.560704398079066
2019-06-28-18,1.772531350998119,2.9902739352095775,1.0260336693025807
2019-06-28-19,1.898930219839663,2.5759512750818874,0.740839149017332
2019-06-28-20,2.293345865954436,2.392260348155263,0.9710959505157882
2019-06-28-21,2.3925000441947315,2.254209940808604,1.9367047333291065
2019-06-28-22,2.5931076321605917,2.3631329429333676,1.560894130452698
2019-06-28-23,2.2607522864003697,2.419391242192684,2.625802585520553
