,MFB,MFE,R
首爾,-0.428,0.441,0.654
東京,-1.758,1.758,0.23
北京,-0.741,0.745,0.417
overal,-0.975,0.981,0.787
Criteria,-0.65/0.65,0/0.85,0.45
合格率,33%,66%,33%
合格站數,1,2,1
