,MFB,MFE,R
首爾,-0.114,0.357,0.612
東京,0.208,0.564,0.4
北京,-0.727,0.735,0.161
overal,-0.204,0.547,0.442
Criteria,-0.35/0.35,0/0.55,0.5
合格率,66%,33%,33%
合格站數,2,1,1
