,MFB,MFE,R
首爾,0.128,0.254,0.689
東京,-0.574,0.611,0.613
北京,-0.481,0.547,0.713
overal,-0.306,0.469,0.762
Criteria,-0.35/0.35,0/0.55,0.5
合格率,33%,66%,100%
合格站數,1,2,3
