,MFB,MFE,R
首爾,0.815,0.815,0.461
東京,-0.664,0.793,0.042
北京,0.005,0.534,0.409
overal,0.162,0.702,0.777
Criteria,-0.65/0.65,0/0.85,0.45
合格率,33%,100%,33%
合格站數,1,3,1
