,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-06-00,354.0,70.0,170.0,170.0,20.0,340.0,320.0,360.0
2019-09-06-01,-999.0,-999.0,260.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-02,-999.0,-999.0,150.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-03,350.0,50.0,140.0,180.0,270.0,360.0,250.0,290.0
2019-09-06-04,-999.0,-999.0,150.0,160.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-05,-999.0,-999.0,150.0,170.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-06,359.0,50.0,140.0,180.0,180.0,340.0,270.0,250.0
2019-09-06-07,-999.0,-999.0,160.0,170.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-08,-999.0,-999.0,170.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-09,343.0,70.0,160.0,210.0,180.0,340.0,290.0,160.0
2019-09-06-10,-999.0,-999.0,170.0,200.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-11,-999.0,-999.0,160.0,200.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-12,360.0,70.0,200.0,180.0,200.0,320.0,140.0,250.0
2019-09-06-13,-999.0,-999.0,200.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-14,-999.0,-999.0,170.0,200.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-15,2.0,90.0,200.0,200.0,-999.0,290.0,140.0,360.0
2019-09-06-16,-999.0,-999.0,190.0,200.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-17,-999.0,-999.0,190.0,210.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-18,358.0,140.0,210.0,210.0,-999.0,270.0,290.0,220.0
2019-09-06-19,-999.0,-999.0,230.0,200.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-20,-999.0,-999.0,270.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-21,1.0,200.0,260.0,190.0,20.0,270.0,290.0,250.0
2019-09-06-22,-999.0,-999.0,260.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-09-06-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
