,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-03-15-00,340.0,250.0,320.0,90.0,40.0,220.0,250.0,20.0
2019-03-15-01,-999.0,-999.0,90.0,110.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-02,-999.0,-999.0,160.0,80.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-03,151.0,270.0,140.0,50.0,40.0,270.0,270.0,20.0
2019-03-15-04,-999.0,-999.0,140.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-05,-999.0,-999.0,180.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-06,204.0,270.0,140.0,10.0,250.0,320.0,290.0,90.0
2019-03-15-07,-999.0,-999.0,150.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-08,-999.0,-999.0,150.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-09,89.0,290.0,170.0,10.0,200.0,320.0,200.0,110.0
2019-03-15-10,-999.0,-999.0,160.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-11,-999.0,-999.0,160.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-12,51.0,320.0,190.0,20.0,180.0,70.0,160.0,40.0
2019-03-15-13,-999.0,-999.0,190.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-14,-999.0,-999.0,210.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-15,279.0,290.0,200.0,10.0,180.0,70.0,270.0,40.0
2019-03-15-16,-999.0,-999.0,310.0,20.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-17,-999.0,-999.0,310.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-18,352.0,320.0,330.0,10.0,40.0,360.0,290.0,360.0
2019-03-15-19,-999.0,-999.0,330.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-20,-999.0,-999.0,330.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-21,5.0,290.0,350.0,10.0,40.0,360.0,270.0,360.0
2019-03-15-22,-999.0,-999.0,320.0,10.0,-999.0,-999.0,-999.0,-999.0
2019-03-15-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
