,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-01-17-00,-2.2,5.4,6.1,14.7,-7.5,-0.2,9.6,11.6
2019-01-17-01,-999.0,-999.0,7.8,14.9,-999.0,-999.0,-999.0,-999.0
2019-01-17-02,-999.0,-999.0,9.7,14.8,-999.0,-999.0,-999.0,-999.0
2019-01-17-03,1.7,6.1,10.8,15.2,3.2,5.0,12.2,15.8
2019-01-17-04,-999.0,-999.0,10.8,15.3,-999.0,-999.0,-999.0,-999.0
2019-01-17-05,-999.0,-999.0,10.7,15.2,-999.0,-999.0,-999.0,-999.0
2019-01-17-06,3.2,6.2,10.3,16.2,6.8,8.5,13.3,17.6
2019-01-17-07,-999.0,-999.0,10.1,16.7,-999.0,-999.0,-999.0,-999.0
2019-01-17-08,-999.0,-999.0,8.9,16.9,-999.0,-999.0,-999.0,-999.0
2019-01-17-09,1.6,6.2,7.5,16.9,4.5,6.5,11.1,13.5
2019-01-17-10,-999.0,-999.0,6.9,16.6,-999.0,-999.0,-999.0,-999.0
2019-01-17-11,-999.0,-999.0,6.0,16.4,-999.0,-999.0,-999.0,-999.0
2019-01-17-12,-0.7,5.7,5.8,16.1,-1.5,2.1,10.3,12.5
2019-01-17-13,-999.0,-999.0,6.3,15.6,-999.0,-999.0,-999.0,-999.0
2019-01-17-14,-999.0,-999.0,6.1,15.6,-999.0,-999.0,-999.0,-999.0
2019-01-17-15,-2.0,5.7,5.9,15.4,-3.8,0.2,10.0,11.4
2019-01-17-16,-999.0,-999.0,6.1,15.3,-999.0,-999.0,-999.0,-999.0
2019-01-17-17,-999.0,-999.0,5.4,15.1,-999.0,-999.0,-999.0,-999.0
2019-01-17-18,-3.0,5.7,4.7,15.3,-5.2,-0.9,8.9,10.3
2019-01-17-19,-999.0,-999.0,4.0,15.2,-999.0,-999.0,-999.0,-999.0
2019-01-17-20,-999.0,-999.0,3.4,14.7,-999.0,-999.0,-999.0,-999.0
2019-01-17-21,-4.2,4.1,3.6,15.1,-7.1,-1.7,8.1,10.0
2019-01-17-22,-999.0,-999.0,2.9,14.2,-999.0,-999.0,-999.0,-999.0
2019-01-17-23,-999.0,-999.0,3.4,14.6,-999.0,-999.0,-999.0,-999.0
