,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-08-15-00,27.0,27.0,31.1,29.8,25.2,27.2,28.4,27.2
2019-08-15-01,-999.0,-999.0,32.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-08-15-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-15-03,25.6,27.9,31.7,30.8,30.2,29.5,32.1,31.9
2019-08-15-04,-999.0,-999.0,30.8,30.6,-999.0,-999.0,-999.0,-999.0
2019-08-15-05,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-15-06,26.0,27.5,30.4,30.9,31.2,31.6,35.6,34.6
2019-08-15-07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-08-15-08,-999.0,-999.0,26.4,30.2,-999.0,-999.0,-999.0,-999.0
2019-08-15-09,25.2,27.3,27.2,29.7,30.8,31.7,28.5,32.0
2019-08-15-10,-999.0,-999.0,27.5,28.7,-999.0,-999.0,-999.0,-999.0
2019-08-15-11,-999.0,-999.0,27.8,28.8,-999.0,-999.0,-999.0,-999.0
2019-08-15-12,24.7,26.7,28.3,29.0,30.6,29.7,27.3,27.2
2019-08-15-13,-999.0,-999.0,28.5,28.8,-999.0,-999.0,-999.0,-999.0
2019-08-15-14,-999.0,-999.0,28.2,28.8,-999.0,-999.0,-999.0,-999.0
2019-08-15-15,24.0,26.6,28.2,28.8,26.6,27.5,27.6,26.5
2019-08-15-16,-999.0,-999.0,28.3,28.7,-999.0,-999.0,-999.0,-999.0
2019-08-15-17,-999.0,-999.0,28.3,28.4,-999.0,-999.0,-999.0,-999.0
2019-08-15-18,23.1,26.7,28.4,28.2,21.6,25.2,26.4,25.9
2019-08-15-19,-999.0,-999.0,28.1,28.2,-999.0,-999.0,-999.0,-999.0
2019-08-15-20,-999.0,-999.0,28.0,28.0,-999.0,-999.0,-999.0,-999.0
2019-08-15-21,23.1,26.5,28.4,27.8,23.1,24.2,25.9,25.7
2019-08-15-22,-999.0,-999.0,28.1,27.6,-999.0,-999.0,-999.0,-999.0
2019-08-15-23,-999.0,-999.0,28.2,28.1,-999.0,-999.0,-999.0,-999.0
