,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-11-00,23.5,24.7,28.4,29.9,20.1,27.7,27.3,29.2
2019-09-11-01,-999.0,-999.0,29.8,30.2,-999.0,-999.0,-999.0,-999.0
2019-09-11-02,-999.0,-999.0,30.3,32.0,-999.0,-999.0,-999.0,-999.0
2019-09-11-03,27.5,27.7,30.5,31.8,22.4,29.7,28.7,31.6
2019-09-11-04,-999.0,-999.0,31.9,31.7,-999.0,-999.0,-999.0,-999.0
2019-09-11-05,-999.0,-999.0,31.3,32.0,-999.0,-999.0,-999.0,-999.0
2019-09-11-06,27.7,28.5,30.7,31.8,23.7,31.2,31.8,33.2
2019-09-11-07,-999.0,-999.0,30.3,31.7,-999.0,-999.0,-999.0,-999.0
2019-09-11-08,-999.0,-999.0,29.2,30.6,-999.0,-999.0,-999.0,-999.0
2019-09-11-09,26.5,25.8,27.2,29.7,22.9,28.1,31.0,30.6
2019-09-11-10,-999.0,-999.0,26.3,29.0,-999.0,-999.0,-999.0,-999.0
2019-09-11-11,-999.0,-999.0,26.0,29.0,-999.0,-999.0,-999.0,-999.0
2019-09-11-12,24.2,25.1,25.5,29.0,21.8,26.2,28.6,29.4
2019-09-11-13,-999.0,-999.0,25.7,28.9,-999.0,-999.0,-999.0,-999.0
2019-09-11-14,-999.0,-999.0,26.0,28.7,-999.0,-999.0,-999.0,-999.0
2019-09-11-15,22.7,24.9,24.9,28.5,21.4,25.6,28.1,28.3
2019-09-11-16,-999.0,-999.0,24.7,28.4,-999.0,-999.0,-999.0,-999.0
2019-09-11-17,-999.0,-999.0,24.4,28.1,-999.0,-999.0,-999.0,-999.0
2019-09-11-18,21.7,25.0,24.3,28.0,19.9,25.5,27.5,27.5
2019-09-11-19,-999.0,-999.0,24.5,27.8,-999.0,-999.0,-999.0,-999.0
2019-09-11-20,-999.0,-999.0,24.4,27.8,-999.0,-999.0,-999.0,-999.0
2019-09-11-21,21.5,24.3,24.9,27.7,19.0,25.2,26.8,27.2
2019-09-11-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-09-11-23,-999.0,-999.0,26.4,28.7,-999.0,-999.0,-999.0,-999.0
