,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-12-30-00,5.0,12.5,6.0,22.0,-8.5,7.0,15.4,16.1
2019-12-30-01,-999.0,-999.0,6.3,21.5,-999.0,-999.0,-999.0,-999.0
2019-12-30-02,-999.0,-999.0,6.1,21.0,-999.0,-999.0,-999.0,-999.0
2019-12-30-03,6.7,13.5,6.2,21.0,-7.4,12.7,17.0,17.2
2019-12-30-04,-999.0,-999.0,6.9,20.5,-999.0,-999.0,-999.0,-999.0
2019-12-30-05,-999.0,-999.0,8.4,19.8,-999.0,-999.0,-999.0,-999.0
2019-12-30-06,5.0,12.5,8.1,19.8,-5.8,13.0,16.6,18.5
2019-12-30-07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-30-08,-999.0,-999.0,6.5,20.3,-999.0,-999.0,-999.0,-999.0
2019-12-30-09,3.0,12.1,6.6,20.5,-6.5,10.7,15.7,18.0
2019-12-30-10,-999.0,-999.0,6.5,20.4,-999.0,-999.0,-999.0,-999.0
2019-12-30-11,-999.0,-999.0,6.2,20.6,-999.0,-999.0,-999.0,-999.0
2019-12-30-12,-1.9,8.7,6.8,20.9,-7.5,8.7,14.3,17.4
2019-12-30-13,-999.0,-999.0,7.5,-999.0,-999.0,-999.0,-999.0,-999.0
2019-12-30-14,-999.0,-999.0,6.8,21.2,-999.0,-999.0,-999.0,-999.0
2019-12-30-15,-5.7,6.3,6.9,21.3,-8.7,7.2,14.0,16.5
2019-12-30-16,-999.0,-999.0,6.8,21.3,-999.0,-999.0,-999.0,-999.0
2019-12-30-17,-999.0,-999.0,6.6,21.5,-999.0,-999.0,-999.0,-999.0
2019-12-30-18,-8.5,5.0,6.6,21.4,-10.7,3.7,13.8,15.5
2019-12-30-19,-999.0,-999.0,6.8,21.0,-999.0,-999.0,-999.0,-999.0
2019-12-30-20,-999.0,-999.0,6.2,19.9,-999.0,-999.0,-999.0,-999.0
2019-12-30-21,-10.0,3.3,6.7,19.1,-13.0,2.0,13.0,14.7
2019-12-30-22,-999.0,-999.0,5.7,18.9,-999.0,-999.0,-999.0,-999.0
2019-12-30-23,-999.0,-999.0,6.7,19.0,-999.0,-999.0,-999.0,-999.0
