,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-04-29-00,13.2,16.5,15.6,25.2,13.2,17.6,20.1,23.3
2019-04-29-01,-999.0,-999.0,16.6,25.5,-999.0,-999.0,-999.0,-999.0
2019-04-29-02,-999.0,-999.0,18.3,26.6,-999.0,-999.0,-999.0,-999.0
2019-04-29-03,15.7,19.5,18.1,27.3,17.5,16.7,23.7,29.1
2019-04-29-04,-999.0,-999.0,17.3,27.5,-999.0,-999.0,-999.0,-999.0
2019-04-29-05,-999.0,-999.0,18.2,27.5,-999.0,-999.0,-999.0,-999.0
2019-04-29-06,15.7,17.6,17.4,27.0,19.6,16.2,27.6,28.6
2019-04-29-07,-999.0,-999.0,16.9,27.2,-999.0,-999.0,-999.0,-999.0
2019-04-29-08,-999.0,-999.0,16.4,26.5,-999.0,-999.0,-999.0,-999.0
2019-04-29-09,17.2,14.6,15.9,26.3,19.9,15.7,28.3,26.9
2019-04-29-10,-999.0,-999.0,15.6,25.8,-999.0,-999.0,-999.0,-999.0
2019-04-29-11,-999.0,-999.0,15.6,25.7,-999.0,-999.0,-999.0,-999.0
2019-04-29-12,13.5,14.7,14.9,25.5,17.0,15.5,25.3,25.1
2019-04-29-13,-999.0,-999.0,14.8,25.3,-999.0,-999.0,-999.0,-999.0
2019-04-29-14,-999.0,-999.0,14.6,25.3,-999.0,-999.0,-999.0,-999.0
2019-04-29-15,11.5,15.1,14.2,25.2,14.3,14.7,24.2,24.7
2019-04-29-16,-999.0,-999.0,13.7,25.2,-999.0,-999.0,-999.0,-999.0
2019-04-29-17,-999.0,-999.0,13.7,25.3,-999.0,-999.0,-999.0,-999.0
2019-04-29-18,10.2,14.7,13.6,25.2,15.6,14.1,23.5,24.0
2019-04-29-19,-999.0,-999.0,13.4,25.1,-999.0,-999.0,-999.0,-999.0
2019-04-29-20,-999.0,-999.0,12.8,25.2,-999.0,-999.0,-999.0,-999.0
2019-04-29-21,9.0,14.6,13.1,25.1,13.8,14.1,22.3,23.1
2019-04-29-22,-999.0,-999.0,13.9,25.5,-999.0,-999.0,-999.0,-999.0
2019-04-29-23,-999.0,-999.0,13.9,26.3,-999.0,-999.0,-999.0,-999.0
