,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-03-25-00,5.6,9.0,9.2,19.7,11.8,10.2,11.0,13.2
2019-03-25-01,-999.0,-999.0,9.5,20.6,-999.0,-999.0,-999.0,-999.0
2019-03-25-02,-999.0,-999.0,12.8,20.9,-999.0,-999.0,-999.0,-999.0
2019-03-25-03,9.0,11.8,12.4,21.5,19.4,13.5,14.7,14.7
2019-03-25-04,-999.0,-999.0,14.2,22.5,-999.0,-999.0,-999.0,-999.0
2019-03-25-05,-999.0,-999.0,13.8,22.0,-999.0,-999.0,-999.0,-999.0
2019-03-25-06,10.6,13.0,13.9,21.8,22.3,14.5,20.9,16.9
2019-03-25-07,-999.0,-999.0,13.9,20.8,-999.0,-999.0,-999.0,-999.0
2019-03-25-08,-999.0,-999.0,13.5,19.3,-999.0,-999.0,-999.0,-999.0
2019-03-25-09,10.5,11.5,12.6,19.3,22.2,14.7,20.0,19.9
2019-03-25-10,-999.0,-999.0,11.9,19.5,-999.0,-999.0,-999.0,-999.0
2019-03-25-11,-999.0,-999.0,12.1,20.2,-999.0,-999.0,-999.0,-999.0
2019-03-25-12,8.2,10.7,12.4,21.0,14.7,10.7,16.4,15.7
2019-03-25-13,-999.0,-999.0,11.6,20.8,-999.0,-999.0,-999.0,-999.0
2019-03-25-14,-999.0,-999.0,11.7,20.4,-999.0,-999.0,-999.0,-999.0
2019-03-25-15,7.7,10.3,11.7,20.2,12.3,8.4,12.9,15.6
2019-03-25-16,-999.0,-999.0,11.3,19.7,-999.0,-999.0,-999.0,-999.0
2019-03-25-17,-999.0,-999.0,10.8,19.6,-999.0,-999.0,-999.0,-999.0
2019-03-25-18,7.5,10.6,10.7,19.0,8.2,8.0,12.4,15.3
2019-03-25-19,-999.0,-999.0,10.6,18.8,-999.0,-999.0,-999.0,-999.0
2019-03-25-20,-999.0,-999.0,10.5,18.7,-999.0,-999.0,-999.0,-999.0
2019-03-25-21,7.5,11.6,10.1,18.6,10.1,6.2,12.7,15.7
2019-03-25-22,-999.0,-999.0,10.2,18.5,-999.0,-999.0,-999.0,-999.0
2019-03-25-23,-999.0,-999.0,10.5,18.9,-999.0,-999.0,-999.0,-999.0
