,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-04-28-00,12.0,16.0,13.0,22.9,9.0,15.1,17.6,21.4
2019-04-28-01,-999.0,-999.0,15.3,23.1,-999.0,-999.0,-999.0,-999.0
2019-04-28-02,-999.0,-999.0,16.6,23.3,-999.0,-999.0,-999.0,-999.0
2019-04-28-03,16.0,16.9,16.9,23.7,12.2,16.2,19.9,25.5
2019-04-28-04,-999.0,-999.0,18.6,24.0,-999.0,-999.0,-999.0,-999.0
2019-04-28-05,-999.0,-999.0,17.7,24.3,-999.0,-999.0,-999.0,-999.0
2019-04-28-06,16.1,16.2,16.1,24.4,14.2,18.0,23.4,27.2
2019-04-28-07,-999.0,-999.0,16.1,24.5,-999.0,-999.0,-999.0,-999.0
2019-04-28-08,-999.0,-999.0,15.8,24.5,-999.0,-999.0,-999.0,-999.0
2019-04-28-09,14.5,14.1,14.4,24.1,14.3,17.5,22.9,22.6
2019-04-28-10,-999.0,-999.0,13.6,23.6,-999.0,-999.0,-999.0,-999.0
2019-04-28-11,-999.0,-999.0,13.0,23.6,-999.0,-999.0,-999.0,-999.0
2019-04-28-12,12.0,15.1,12.8,23.5,14.0,16.7,21.8,21.5
2019-04-28-13,-999.0,-999.0,12.1,23.4,-999.0,-999.0,-999.0,-999.0
2019-04-28-14,-999.0,-999.0,12.1,23.4,-999.0,-999.0,-999.0,-999.0
2019-04-28-15,10.0,15.2,11.8,23.4,13.5,16.5,21.0,21.2
2019-04-28-16,-999.0,-999.0,11.3,23.5,-999.0,-999.0,-999.0,-999.0
2019-04-28-17,-999.0,-999.0,10.7,23.4,-999.0,-999.0,-999.0,-999.0
2019-04-28-18,8.7,15.1,11.3,23.7,12.8,16.2,20.0,21.3
2019-04-28-19,-999.0,-999.0,11.5,23.8,-999.0,-999.0,-999.0,-999.0
2019-04-28-20,-999.0,-999.0,11.9,24.0,-999.0,-999.0,-999.0,-999.0
2019-04-28-21,8.2,15.4,12.0,24.2,11.9,16.5,20.0,21.2
2019-04-28-22,-999.0,-999.0,12.6,24.5,-999.0,-999.0,-999.0,-999.0
2019-04-28-23,-999.0,-999.0,14.1,24.9,-999.0,-999.0,-999.0,-999.0
