,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-20-00,160,160,260,190,130,230,280,240,90,10,170,180,200,350,50,170,240,40,90,270,130,230,90,270
2021-06-20-01,150,220,270,190,220,230,220,260,320,80,170,260,160,240,80,200,250,160,110,250,90,70,190,270
2021-06-20-02,170,230,240,220,230,230,220,240,90,90,160,180,110,150,250,130,260,150,90,280,80,40,220,270
2021-06-20-03,180,220,240,170,260,230,220,240,100,90,160,140,130,100,280,150,260,160,120,120,130,140,220,270
2021-06-20-04,180,230,290,230,270,230,210,230,100,100,190,170,140,170,10,140,250,170,110,90,80,80,190,270
2021-06-20-05,130,260,280,330,260,230,220,250,60,90,180,170,120,180,20,160,250,160,120,120,80,60,190,300
2021-06-20-06,130,240,290,260,280,230,240,230,290,90,180,190,90,200,20,200,230,120,100,90,90,70,230,290
2021-06-20-07,360,250,240,340,260,230,220,250,300,90,190,180,100,270,300,180,250,150,110,100,80,50,200,280
2021-06-20-08,10,280,300,260,270,230,230,240,60,90,180,170,130,70,280,180,260,130,140,120,90,60,190,280
2021-06-20-09,170,250,250,10,270,240,240,260,10,120,190,180,140,80,180,200,260,80,150,130,80,70,190,280
2021-06-20-10,20,320,320,20,280,240,220,270,110,140,180,160,120,20,210,200,270,20,150,140,110,40,190,270
2021-06-20-11,30,320,340,10,290,250,240,280,80,110,190,190,110,20,170,200,270,10,160,120,100,30,150,280
2021-06-20-12,360,280,330,40,300,240,240,270,80,230,200,160,140,340,200,230,280,-999,170,140,40,20,180,270
2021-06-20-13,50,260,340,20,300,230,210,260,340,290,190,120,170,180,200,200,270,330,150,150,10,50,30,270
2021-06-20-14,150,-999,340,30,290,240,220,280,310,240,180,150,220,90,180,160,280,330,150,160,240,270,130,270
2021-06-20-15,20,280,340,360,260,250,220,280,300,250,190,170,210,200,200,220,290,320,160,210,270,270,220,270
2021-06-20-16,80,240,310,310,260,230,210,280,40,240,200,200,230,170,170,180,270,310,200,210,280,270,300,270
2021-06-20-17,100,210,310,200,250,240,230,280,270,250,160,150,230,220,210,140,280,340,230,230,300,260,330,270
2021-06-20-18,170,180,310,180,280,230,210,280,300,250,180,160,240,160,210,130,250,320,230,220,310,260,200,270
2021-06-20-19,140,230,310,210,250,230,200,280,300,280,170,190,240,240,310,180,240,340,260,240,20,250,220,260
2021-06-20-20,330,360,300,180,280,230,190,180,270,250,160,110,-999,190,200,140,230,340,230,210,340,260,140,270
2021-06-20-21,10,300,300,190,200,230,250,200,260,230,180,120,240,180,40,130,250,360,240,220,330,270,30,270
2021-06-20-22,320,230,310,190,230,210,190,180,260,240,170,130,240,190,280,150,250,350,240,210,80,270,200,270
2021-06-20-23,140,170,300,200,210,220,200,170,180,240,170,130,240,160,310,130,240,360,90,210,320,290,80,270
