,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-27-00,2.0,3.5,2.1,5.7,2.0,1.0,3.0,2.0
2019-09-27-01,-999.0,-999.0,2.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-09-27-02,-999.0,-999.0,2.1,7.2,-999.0,-999.0,-999.0,-999.0
2019-09-27-03,2.2,4.7,2.6,6.7,1.0,3.0,3.0,4.0
2019-09-27-04,-999.0,-999.0,-999.0,8.2,-999.0,-999.0,-999.0,-999.0
2019-09-27-05,-999.0,-999.0,3.1,6.2,-999.0,-999.0,-999.0,-999.0
2019-09-27-06,1.4,2.5,2.6,5.1,3.0,2.0,2.0,2.0
2019-09-27-07,-999.0,-999.0,3.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-09-27-08,-999.0,-999.0,2.1,5.7,-999.0,-999.0,-999.0,-999.0
2019-09-27-09,1.1,3.6,3.1,4.6,3.0,2.0,2.0,3.0
2019-09-27-10,-999.0,-999.0,4.1,5.1,-999.0,-999.0,-999.0,-999.0
2019-09-27-11,-999.0,-999.0,3.6,4.6,-999.0,-999.0,-999.0,-999.0
2019-09-27-12,2.1,2.5,3.1,4.1,1.0,1.0,3.0,2.0
2019-09-27-13,-999.0,-999.0,1.5,4.6,-999.0,-999.0,-999.0,-999.0
2019-09-27-14,-999.0,-999.0,3.1,4.6,-999.0,-999.0,-999.0,-999.0
2019-09-27-15,1.7,2.6,2.6,4.1,2.0,1.0,1.0,4.0
2019-09-27-16,-999.0,-999.0,2.6,2.6,-999.0,-999.0,-999.0,-999.0
2019-09-27-17,-999.0,-999.0,1.5,3.1,-999.0,-999.0,-999.0,-999.0
2019-09-27-18,1.6,2.5,2.1,2.6,2.0,0.0,2.0,2.0
2019-09-27-19,-999.0,-999.0,1.0,3.6,-999.0,-999.0,-999.0,-999.0
2019-09-27-20,-999.0,-999.0,1.0,3.6,-999.0,-999.0,-999.0,-999.0
2019-09-27-21,1.6,1.0,1.5,3.1,1.0,1.0,2.0,3.0
2019-09-27-22,-999.0,-999.0,1.0,3.1,-999.0,-999.0,-999.0,-999.0
2019-09-27-23,-999.0,-999.0,2.1,5.1,-999.0,-999.0,-999.0,-999.0
