,MB,MNB,MNE,R
濟州,-0.083,-0.108,0.172,0.578
沖繩,0.096,0.039,0.153,-0.014
上海,-0.248,-0.453,0.453,0.172
福州,0.244,0.036,0.226,0.245
廈門,0.321,0.146,0.222,0.455
overal,0.06,-0.025,0.194,0.409
Criteria,-0.1/0.1,-0.15/0.15,0.0/0.35,0.45
合格率,40%,80%,80%,40%
合格站數,2,4,4,2
