,MNB,MNE,R
濟州,-0.874,0.875,0.123
沖繩,-0.709,0.925,-0.062
上海,0.084,0.305,0.617
福州,-0.496,0.521,0.416
廈門,-0.438,0.483,0.371
overal,-0.486,0.621,0.707
Criteria,-0.4/0.5,0.0/0.8,0.35
合格率,20%,60%,60%
合格站數,1,3,3
