,MNB,MNE,R
朴子,--,--,--
嘉義,-0.219,0.323,0.584
新營,-0.083,0.296,0.608
善化,--,--,--
安南,-0.164,0.298,0.544
台南,-0.237,0.309,0.548
美濃,--,--,--
橋頭,--,--,--
仁武,-0.252,0.345,0.491
大寮,-0.363,0.417,0.282
林園,0.468,0.924,0.171
楠梓,-0.051,0.286,0.104
左營,-0.142,0.294,0.503
前金,-0.127,0.268,0.473
前鎮,-0.094,0.305,0.513
小港,-0.285,0.368,0.366
屏東,0.095,0.321,0.206
潮州,--,--,--
恆春,--,--,--
overal,-0.111,0.365,0.445
Criteria,-0.4/0.5,0/0.8,0.35
合格率,100%,92%,69%
合格站數,13,12,9
