UTC,首爾,東京,北京
2019-09-16-00,8.118257218256758,3.9027803316957943,22.80577624186384
2019-09-16-01,3.0127184608600146,5.597272205765364,36.92399710976423
2019-09-16-02,13.681940433212048,4.243892112515482,68.63844075154208
2019-09-16-03,30.315593880105638,6.77091146432258,115.59595588192272
2019-09-16-04,36.7320657841544,13.564611811648433,171.1252861516081
2019-09-16-05,38.25056374391215,14.054959452006528,192.74800607909293
2019-09-16-06,33.93329860407363,7.871577183485613,205.90572516885126
2019-09-16-07,34.52939557733265,358.1277129441549,204.21542611054565
2019-09-16-08,38.251761440732054,354.2582116007761,198.69840542649942
2019-09-16-09,42.38991742147516,341.1463283360604,200.45139877047322
2019-09-16-10,40.34307344551141,333.2084288022497,201.6444457131416
2019-09-16-11,56.425553778160804,335.5909777808305,200.588082996001
2019-09-16-12,71.51598747048192,331.48713901043266,193.50283740137155
2019-09-16-13,77.80589018428202,331.13480666121364,198.1885500017687
2019-09-16-14,73.56043715818839,328.28220989101266,208.91207898052338
2019-09-16-15,73.5263478918684,315.0561831441805,210.81262867471918
2019-09-16-16,77.0217037519219,314.890038807995,205.45672241345102
2019-09-16-17,80.13691229493708,319.3177165681869,189.1174249701313
2019-09-16-18,84.37242230726662,321.80409972929596,172.90337733972973
2019-09-16-19,90.69300381525284,329.7082210989296,154.96267007999057
2019-09-16-20,91.22265607614273,349.351227398803,151.26563176704272
2019-09-16-21,93.71246001481285,0.5936796263603696,147.65460655201437
2019-09-16-22,95.42627590067625,359.32460488989204,156.32561714519028
2019-09-16-23,101.03780339146311,9.72837983807733,168.55980895875902
