UTC,首爾,東京,北京
2019-05-16-00,154.62268551323106,74.07461874497102,23.038523214089082
2019-05-16-01,224.52918262558077,63.202658756408,104.55868203018372
2019-05-16-02,236.2421369092821,70.02243890863514,111.7107116020972
2019-05-16-03,237.02126765120596,76.38341287348493,124.54518793896057
2019-05-16-04,236.6371965424373,81.5314900386995,144.93352354068995
2019-05-16-05,239.586598531302,84.32569425284706,169.33464379146278
2019-05-16-06,240.56599084616067,90.86235564631278,184.01774963857812
2019-05-16-07,240.30084555432018,94.55092515791199,187.00719534946887
2019-05-16-08,242.47207531481703,100.87743059813877,182.12503530278605
2019-05-16-09,246.20024397122612,102.79260592659912,181.53359261356616
2019-05-16-10,250.171942142644,107.01477189529558,185.2217244178326
2019-05-16-11,254.94579739537022,108.94484720166543,188.87712697207462
2019-05-16-12,274.3457077944922,113.07812543835493,192.06744335215393
2019-05-16-13,297.6761123830088,116.85280049044474,202.08494819492188
2019-05-16-14,290.10382670462377,124.1782771530842,209.21054772545068
2019-05-16-15,271.924448017729,123.58073170744007,98.23878541879623
2019-05-16-16,249.22510303918472,111.49288309763739,40.87681283738701
2019-05-16-17,203.147842664129,78.68554901071283,39.19664181476668
2019-05-16-18,127.14777849987496,76.03125038739248,29.87536562664505
2019-05-16-19,97.22919807812042,79.41342317326183,61.407598257606764
2019-05-16-20,86.9562207213921,86.63533048582897,60.256029555437436
2019-05-16-21,92.88569652569817,101.11485320902065,20.471757616236488
2019-05-16-22,99.48359193651558,107.29310158129809,38.94935677070714
2019-05-16-23,111.78246003638785,110.55766650575512,70.08776543058491
