UTC,首爾,東京,北京
2019-04-09-00,123.39840535589278,319.6071726628456,47.26905274457596
2019-04-09-01,116.27935928428138,321.24241661161636,54.85000790719471
2019-04-09-02,110.31348278779541,322.38179811115447,46.35667635136534
2019-04-09-03,103.23751639583256,322.1208603395977,29.426434834789717
2019-04-09-04,106.1696502378461,322.02384428738446,17.671809955444218
2019-04-09-05,119.13769927936019,323.54405461963086,11.675168278511649
2019-04-09-06,107.84874453633492,327.9333703542891,18.216388166692468
2019-04-09-07,105.9368112725993,328.4863647565855,38.15115108414116
2019-04-09-08,105.36372398628836,325.3997473257217,45.83601975493926
2019-04-09-09,102.45954077789366,320.57465466068106,38.94557974930214
2019-04-09-10,94.93571434476786,319.65750416886465,30.86009960478316
2019-04-09-11,81.02400103225852,313.5946439894309,15.718203617865356
2019-04-09-12,78.12329215357286,319.79703809569617,355.71428935394476
2019-04-09-13,73.77487360028525,334.41605455058766,331.54625395726197
2019-04-09-14,69.76155245258744,349.31760467382855,315.54349980126483
2019-04-09-15,79.58667562295173,358.5321568789693,309.38301343032754
2019-04-09-16,77.218837313769,14.556375765182281,313.5543086088604
2019-04-09-17,74.24663255114979,25.586859682862297,312.8981567927269
2019-04-09-18,68.94825185662143,53.02596448596364,320.65682524368196
2019-04-09-19,62.40445452668425,80.4161820568865,321.2424782588641
2019-04-09-20,53.83829060731475,91.92424212565612,324.3784977155803
2019-04-09-21,51.4606393703917,91.74409710848911,324.97932683674856
2019-04-09-22,49.166652828227825,76.44645654606504,323.0690644395212
2019-04-09-23,48.7526438638227,53.404750801901145,332.1860991619681
